Rank,Movie,"Release
Date",Year,Distributor,Genre,1996 Gross,Tickets Sold
168,Death of a Nation,8/3/2018,2018,Quality Flix,Documentary,"$5,885,881","646,090"
169,Pandas,4/6/2018,2018,IMAX Films,Documentary,"$5,757,906","632,042"
170,God’s Not Dead: A Light in …,3/30/2018,2018,Pure Flix Enterta…,Drama,"$5,728,940","628,862"
171,Kin,8/31/2018,2018,Lionsgate,Action,"$5,718,096","627,672"
172,They Shall Not Grow Old,12/17/2018,2018,Warner Bros.,Documentary,"$5,703,839","626,107"
173,My Hero Academia: Two Heroes,9/25/2018,2018,FUNimation,Adventure,"$5,427,591","595,783"
174,Colette,9/21/2018,2018,Bleecker Street,Drama,"$5,126,985","562,786"
175,Action Point,6/1/2018,2018,Paramount Pictures,Comedy,"$5,059,608","555,391"
176,Beirut,4/11/2018,2018,Bleecker Street,Thriller/Suspense,"$5,019,226","550,957"
177,Gringo,3/9/2018,2018,STX Entertainment,Black Comedy,"$4,969,853","545,538"
178,Samson,2/16/2018,2018,Pure Flix Enterta…,Drama,"$4,719,928","518,104"
179,Father Figures,12/22/2017,2018,Warner Bros.,Comedy,"$4,615,957","506,691"
180,Johnny English Strikes Again,10/26/2018,2018,Focus Features,Comedy,"$4,412,170","484,322"
181,If Beale Street Could Talk,12/14/2018,2018,Annapurna Pictures,Drama,"$4,409,248","484,000"
182,Blindspotting,7/20/2018,2018,Lionsgate,Drama,"$4,333,394","475,674"
183,Gotti,6/15/2018,2018,Vertical Entertai…,Drama,"$4,286,367","470,512"
184,Ya Veremos,8/31/2018,2018,Lionsgate,Drama,"$4,165,949","457,294"
185,Simmba,12/28/2018,2018,Reliance Entertai…,Action,"$4,115,790","451,788"
186,Life Itself,9/21/2018,2018,Amazon Studios,Drama,"$4,095,431","449,553"
187,Thor: Ragnarok,11/3/2017,2018,Walt Disney,Action,"$3,833,139","420,761"
188,Gosnell: The Trial of Ameri…,10/12/2018,2018,GVN Releasing,Drama,"$3,679,893","403,939"
189,Indivisible,10/26/2018,2018,Pure Flix Enterta…,Drama,"$3,511,417","385,446"
190,2018 Oscar Shorts,2/9/2018,2018,ShortsHD,Multiple Genres,"$3,508,777","385,156"
191,Disobedience,4/27/2018,2018,Bleecker Street,Drama,"$3,480,702","382,074"
192,Justice League,11/17/2017,2018,Warner Bros.,Action,"$3,478,000","381,778"
193,First Reformed,5/18/2018,2018,A24,Thriller/Suspense,"$3,448,256","378,513"
194,"Juliet, Naked",8/17/2018,2018,Roadside Attractions,Romantic Comedy,"$3,444,895","378,144"
195,Bad Samaritan,5/4/2018,2018,Electric Entertai…,Thriller/Suspense,"$3,424,744","375,932"
196,The Disaster Artist,12/1/2017,2018,A24,Comedy,"$3,258,821","357,719"
197,2001: A Space Odyssey,4/2/1968,2018,MGM,Adventure,"$3,236,321","355,249"
198,The Leisure Seeker,3/9/2018,2018,Sony Pictures Cla…,Drama,"$3,224,126","353,910"
199,7 Days in Entebbe,3/16/2018,2018,Focus Features,Thriller/Suspense,"$3,189,220","350,079"
200,The Sisters Brothers,9/21/2018,2018,Annapurna Pictures,Western,"$3,143,056","345,011"
1,Avengers: Endgame,4/26/2019,2019,Walt Disney,Action,"$858,373,000","93,708,843"
2,The Lion King,7/19/2019,2019,Walt Disney,Adventure,"$543,638,043","59,349,131"
3,Frozen II,11/22/2019,2019,Walt Disney,Musical,"$450,439,533","49,174,621"
4,Toy Story 4,6/21/2019,2019,Walt Disney,Adventure,"$434,038,008","47,384,062"
5,Captain Marvel,3/8/2019,2019,Walt Disney,Action,"$426,829,839","46,597,144"
6,Star Wars: The Rise of Skyw…,12/20/2019,2019,Walt Disney,Adventure,"$390,706,234","42,653,519"
7,Spider-Man: Far From Home,7/2/2019,2019,Sony Pictures,Action,"$390,532,085","42,634,507"
8,Aladdin,5/24/2019,2019,Walt Disney,Adventure,"$355,559,216","38,816,508"
9,Joker,10/4/2019,2019,Warner Bros.,Thriller/Suspense,"$333,772,511","36,438,047"
10,It: Chapter Two,9/6/2019,2019,Warner Bros.,Horror,"$211,593,228","23,099,697"
11,Jumanji: The Next Level,12/13/2019,2019,Sony Pictures,Adventure,"$192,094,536","20,971,019"
12,Us,3/22/2019,2019,Universal,Horror,"$175,084,580","19,114,037"
13,Fast & Furious Presents: Ho…,8/2/2019,2019,Universal,Action,"$173,956,935","18,990,932"
14,John Wick: Chapter 3 — Para…,5/17/2019,2019,Lionsgate,Action,"$171,015,687","18,669,834"
15,How to Train Your Dragon: T…,2/22/2019,2019,Universal,Adventure,"$160,799,505","17,554,531"
16,The Secret Life of Pets 2,6/7/2019,2019,Universal,Adventure,"$158,874,395","17,344,366"
17,Pokémon: Detective Pikachu,5/10/2019,2019,Warner Bros.,Comedy,"$144,105,346","15,732,025"
18,Once Upon a Time…in Hollywo…,7/26/2019,2019,Sony Pictures,Thriller/Suspense,"$141,096,530","15,403,551"
19,Shazam!,4/5/2019,2019,Warner Bros.,Action,"$140,371,656","15,324,417"
20,Aquaman,12/21/2018,2019,Warner Bros.,Action,"$136,001,983","14,847,378"
21,Knives Out,11/27/2019,2019,Lionsgate,Drama,"$130,119,450","14,205,180"
22,Dumbo,3/29/2019,2019,Walt Disney,Adventure,"$114,766,307","12,529,073"
23,Maleficent: Mistress of Evil,10/18/2019,2019,Walt Disney,Adventure,"$113,294,737","12,368,421"
24,Glass,1/18/2019,2019,Universal,Thriller/Suspense,"$111,048,468","12,123,195"
25,Godzilla: King of the Monsters,5/31/2019,2019,Warner Bros.,Action,"$110,500,138","12,063,334"
26,Ford v. Ferrari,11/15/2019,2019,20th Century Fox,Drama,"$109,976,339","12,006,150"
27,The Upside,1/11/2019,2019,STX Entertainment,Comedy,"$108,235,497","11,816,102"
28,The LEGO Movie 2: The Secon…,2/8/2019,2019,Warner Bros.,Adventure,"$105,806,508","11,550,929"
29,Hustlers,9/13/2019,2019,STX Entertainment,Drama,"$104,962,986","11,458,841"
30,The Addams Family,10/11/2019,2019,United Artists,Adventure,"$97,185,807","10,609,804"
31,Downton Abbey,9/20/2019,2019,Focus Features,Drama,"$96,853,865","10,573,566"
32,Rocketman,5/31/2019,2019,Paramount Pictures,Drama,"$96,368,160","10,520,541"
33,Alita: Battle Angel,2/14/2019,2019,20th Century Fox,Action,"$85,710,210","9,357,009"
34,Good Boys,8/16/2019,2019,Universal,Comedy,"$83,140,306","9,076,453"
35,Men in Black: International,6/14/2019,2019,Sony Pictures,Adventure,"$80,001,807","8,733,821"
36,Annabelle Comes Home,6/26/2019,2019,Warner Bros.,Horror,"$74,152,591","8,095,261"
37,Yesterday,6/28/2019,2019,Universal,Romantic Comedy,"$73,286,650","8,000,726"
38,Tyler Perry’s A Madea Famil…,3/1/2019,2019,Lionsgate,Comedy,"$73,257,045","7,997,493"
39,Zombieland: Double Tap,10/18/2019,2019,Sony Pictures,Comedy,"$73,027,571","7,972,442"
40,Angel Has Fallen,8/23/2019,2019,Lionsgate,Thriller/Suspense,"$69,030,436","7,536,073"
41,Scary Stories to Tell in th…,8/9/2019,2019,Lionsgate,Horror,"$68,947,075","7,526,973"
42,Dark Phoenix,6/7/2019,2019,20th Century Fox,Action,"$65,845,974","7,188,425"
43,Terminator: Dark Fate,11/1/2019,2019,Paramount Pictures,Action,"$62,253,077","6,796,187"
44,Abominable,9/27/2019,2019,Universal,Adventure,"$60,679,265","6,624,374"
45,Dora and the Lost City of Gold,8/9/2019,2019,Paramount Pictures,Adventure,"$60,477,943","6,602,395"
46,A Beautiful Day in the Neig…,11/22/2019,2019,Sony Pictures,Drama,"$58,801,961","6,419,428"
47,Midway,11/8/2019,2019,Lionsgate,Action,"$56,547,282","6,173,284"
48,Spider-Man: Into The Spider…,12/14/2018,2019,Sony Pictures,Adventure,"$56,194,964","6,134,821"
49,Bumblebee,12/21/2018,2019,Paramount Pictures,Adventure,"$55,769,470","6,088,370"
50,The Curse of La Llorona,4/19/2019,2019,Warner Bros.,Horror,"$54,733,739","5,975,299"
51,Pet Sematary,4/5/2019,2019,Paramount Pictures,Horror,"$54,724,696","5,974,311"
52,What Men Want,2/8/2019,2019,Paramount Pictures,Romantic Comedy,"$54,611,903","5,961,998"
53,Green Book,11/21/2018,2019,Universal,Comedy,"$52,927,165","5,778,075"
54,Ad Astra,9/20/2019,2019,20th Century Fox,Thriller/Suspense,"$50,188,370","5,479,079"
55,Isn’t it Romantic,2/13/2019,2019,Warner Bros.,Romantic Comedy,"$48,791,187","5,326,549"
56,Gemini Man,10/11/2019,2019,Paramount Pictures,Action,"$48,546,770","5,299,865"
57,Spies in Disguise,12/25/2019,2019,20th Century Fox,Adventure,"$47,042,421","5,135,635"
58,MA,5/31/2019,2019,Universal,Horror,"$45,896,028","5,010,483"
59,Five Feet Apart,3/15/2019,2019,Lionsgate,Drama,"$45,729,221","4,992,273"
60,Wonder Park,3/15/2019,2019,Paramount Pictures,Adventure,"$45,216,793","4,936,331"
61,Rambo: Last Blood,9/20/2019,2019,Lionsgate,Action,"$44,819,352","4,892,942"
62,Playing with Fire,11/8/2019,2019,Paramount Pictures,Comedy,"$44,406,890","4,847,913"
63,Harriet,11/1/2019,2019,Focus Features,Drama,"$42,547,700","4,644,945"
64,A Dog’s Way Home,1/11/2019,2019,Sony Pictures,Drama,"$41,952,715","4,579,990"
65,The Angry Birds Movie 2,8/13/2019,2019,Sony Pictures,Adventure,"$41,657,076","4,547,715"
66,Little,4/12/2019,2019,Universal,Comedy,"$40,860,481","4,460,751"
67,Queen & Slim,11/27/2019,2019,Universal,Drama,"$40,718,945","4,445,300"
68,Breakthrough,4/17/2019,2019,20th Century Fox,Drama,"$40,713,082","4,444,659"
69,The Mule,12/14/2018,2019,Warner Bros.,Drama,"$39,084,073","4,266,820"
70,Crawl,7/12/2019,2019,Paramount Pictures,Horror,"$39,014,193","4,259,191"
71,Escape Room,1/4/2019,2019,Sony Pictures,Horror,"$38,762,584","4,231,723"
72,Little Women,12/25/2019,2019,Sony Pictures,Drama,"$37,593,127","4,104,053"
73,Uncut Gems,12/25/2019,2019,A24,Thriller/Suspense,"$36,556,384","3,990,871"
74,The Hustle,5/10/2019,2019,United Artists,Comedy,"$35,417,038","3,866,488"
75,The Intruder,5/3/2019,2019,Sony Pictures,Thriller/Suspense,"$35,388,976","3,863,425"
76,Last Christmas,11/8/2019,2019,Universal,Romantic Comedy,"$35,116,450","3,833,674"
77,Overcomer,8/23/2019,2019,Sony Pictures,Drama,"$34,700,142","3,788,225"
78,Mary Poppins Returns,12/19/2018,2019,Walt Disney,Musical,"$33,141,176","3,618,032"
79,Cold Pursuit,2/8/2019,2019,Lionsgate,Thriller/Suspense,"$32,138,862","3,508,609"
80,Doctor Sleep,11/8/2019,2019,Warner Bros.,Horror,"$31,543,097","3,443,570"
81,Dragon Ball Super: Broly,1/16/2019,2019,FUNimation,Action,"$30,376,755","3,316,239"
82,Long Shot,5/3/2019,2019,Lionsgate,Romantic Comedy,"$30,316,271","3,309,636"
83,Child’s Play,6/21/2019,2019,United Artists,Horror,"$29,208,403","3,188,690"
84,Ready or Not,8/21/2019,2019,Fox Searchlight,Black Comedy,"$28,714,231","3,134,741"
85,21 Bridges,11/22/2019,2019,STX Entertainment,Thriller/Suspense,"$28,265,017","3,085,700"
86,Happy Death Day 2U,2/13/2019,2019,Universal,Thriller/Suspense,"$28,148,130","3,072,940"
87,Midsommar,7/3/2019,2019,A24,Horror,"$27,426,363","2,994,144"
88,Bohemian Rhapsody,11/2/2018,2019,20th Century Fox,Drama,"$26,490,206","2,891,943"
89,The Art of Racing in the Rain,8/9/2019,2019,20th Century Fox,Drama,"$26,402,818","2,882,403"
90,Countdown,10/25/2019,2019,STX Entertainment,Horror,"$25,617,813","2,796,704"
91,Bombshell,12/13/2019,2019,Lionsgate,Drama,"$24,589,972","2,684,494"
92,Judy,9/27/2019,2019,Roadside Attractions,Drama,"$24,027,755","2,623,117"
93,Parasite,10/11/2019,2019,Neon,Black Comedy,"$23,850,889","2,603,808"
94,Fighting With My Family,2/14/2019,2019,MGM,Comedy,"$22,958,583","2,506,395"
95,On the Basis of Sex,12/25/2018,2019,Focus Features,Drama,"$22,946,065","2,505,029"
96,A Dog’s Journey,5/17/2019,2019,Universal,Drama,"$22,782,371","2,487,158"
97,Booksmart,5/24/2019,2019,United Artists,Comedy,"$22,680,962","2,476,087"
98,Stuber,7/12/2019,2019,20th Century Fox,Comedy,"$22,370,452","2,442,189"
99,47 Meters Down: Uncaged,8/16/2019,2019,Entertainment Stu…,Thriller/Suspense,"$22,260,900","2,430,229"
100,Black and Blue,10/25/2019,2019,Sony Pictures,Action,"$22,012,729","2,403,136"
101,Hellboy,4/12/2019,2019,Lionsgate,Horror,"$21,903,748","2,391,238"
102,Jojo Rabbit,10/18/2019,2019,Fox Searchlight,Black Comedy,"$21,579,550","2,355,846"
103,Shaft,6/14/2019,2019,Warner Bros.,Comedy,"$21,360,215","2,331,901"
104,The Peanut Butter Falcon,8/9/2019,2019,Roadside Attractions,Comedy,"$20,457,158","2,233,314"
105,UglyDolls,5/3/2019,2019,STX Entertainment,Adventure,"$20,150,241","2,199,807"
106,Cats,12/20/2019,2019,Universal,Musical,"$19,970,095","2,180,141"
107,Unplanned,3/29/2019,2019,Pure Flix Enterta…,Drama,"$19,005,109","2,074,793"
108,The Favourite,11/23/2018,2019,Fox Searchlight,Black Comedy,"$18,478,318","2,017,283"
109,Vice,12/25/2018,2019,Annapurna Pictures,Black Comedy,"$18,108,785","1,976,941"
110,Richard Jewell,12/13/2019,2019,Warner Bros.,Drama,"$17,822,217","1,945,657"
111,Charlie’s Angels,11/15/2019,2019,Sony Pictures,Action,"$17,790,181","1,942,159"
112,The Farewell,7/12/2019,2019,A24,Drama,"$17,700,478","1,932,366"
113,BrightBurn,5/24/2019,2019,Sony Pictures,Horror,"$17,259,427","1,884,216"
114,The Good Liar,11/15/2019,2019,Warner Bros.,Thriller/Suspense,"$16,973,279","1,852,978"
115,The Kid Who Would Be King,1/25/2019,2019,20th Century Fox,Adventure,"$16,790,790","1,833,055"
116,Missing Link,4/12/2019,2019,United Artists,Adventure,"$16,649,539","1,817,635"
117,Late Night,6/7/2019,2019,Amazon Studios,Comedy,"$15,500,045","1,692,144"
118,Miss Bala,2/1/2019,2019,Sony Pictures,Action,"$14,998,027","1,637,339"
119,The Prodigy,2/8/2019,2019,Orion Pictures,Horror,"$14,856,291","1,621,865"
120,A Star is Born,10/5/2018,2019,Warner Bros.,Drama,"$14,130,981","1,542,684"
121,Ralph Breaks The Internet,11/21/2018,2019,Walt Disney,Adventure,"$13,939,018","1,521,726"
122,Poms,5/10/2019,2019,STX Entertainment,Comedy,"$13,631,124","1,488,113"
123,They Shall Not Grow Old,12/17/2018,2019,Warner Bros.,Documentary,"$12,253,074","1,337,672"
124,The Kitchen,8/9/2019,2019,Warner Bros.,Drama,"$12,180,032","1,329,698"
125,After,4/12/2019,2019,Aviron Pictures,Drama,"$12,138,565","1,325,170"
126,Blinded by the Light,8/16/2019,2019,Warner Bros.,Drama,"$11,901,145","1,299,252"
127,The Grudge,,2019,,Horror,"$11,404,113","1,244,990"
128,The Lighthouse,10/18/2019,2019,A24,Horror,"$10,809,320","1,180,056"
129,Dark Waters,11/22/2019,2019,Focus Features,Drama,"$10,633,879","1,160,904"
130,Greta,3/1/2019,2019,Focus Features,Thriller/Suspense,"$10,544,310","1,151,126"
131,If Beale Street Could Talk,12/14/2018,2019,Annapurna Pictures,Drama,"$10,506,525","1,147,000"
132,The Best of Enemies,4/5/2019,2019,STX Entertainment,Drama,"$10,205,616","1,114,150"
133,Black Christmas,12/13/2019,2019,Universal,Horror,"$9,867,670","1,077,257"
134,Hotel Mumbai,3/22/2019,2019,Bleecker Street,Thriller/Suspense,"$9,619,500","1,050,163"
135,Motherless Brooklyn,11/1/2019,2019,Warner Bros.,Drama,"$9,277,736","1,012,853"
136,No Manches Frida 2,3/15/2019,2019,Lionsgate,Comedy,"$9,270,920","1,012,109"
137,Where’d You Go Bernadette,8/16/2019,2019,United Artists,Comedy,"$9,198,356","1,004,187"
138,Apollo 11,3/8/2019,2019,Neon,Documentary,"$9,040,224","986,924"
139,Serenity,1/25/2019,2019,Aviron Pictures,Thriller/Suspense,"$8,547,045","933,083"
140,Anna,6/21/2019,2019,Lionsgate,Action,"$7,743,794","845,392"
141,Penguins,4/17/2019,2019,Walt Disney,Documentary,"$7,699,452","840,552"
142,Brittany Runs a Marathon,8/23/2019,2019,Amazon Studios,Drama,"$7,136,342","779,076"
143,The Dead Don’t Die,6/14/2019,2019,Focus Features,Horror,"$6,782,066","740,400"
144,Mary Queen of Scots,12/7/2018,2019,Focus Features,Drama,"$6,742,269","736,056"
145,Jexi,10/11/2019,2019,Lionsgate,Romantic Comedy,"$6,546,159","714,646"
146,Second Act,12/21/2018,2019,STX Entertainment,Comedy,"$6,489,861","708,500"
147,Run the Race,2/22/2019,2019,Roadside Attractions,Drama,"$6,424,420","701,355"
148,Free Solo,9/28/2018,2019,Greenwich,Documentary,"$6,093,902","665,273"
149,The Current War: Director’s…,10/25/2019,2019,101 Studios,Drama,"$5,978,673","652,693"
150,Captive State,3/15/2019,2019,Focus Features,Thriller/Suspense,"$5,958,315","650,471"
151,The Wandering Earth,2/5/2019,2019,CMC Pictures,Action,"$5,875,487","641,428"
152,Arctic Dogs,11/1/2019,2019,Entertainment Stu…,Adventure,"$5,801,249","633,324"
153,Gloria Bell,3/8/2019,2019,A24,Drama,"$5,611,123","612,568"
154,The Mustang,3/15/2019,2019,Focus Features,Drama,"$5,336,840","582,624"
155,The Goldfinch,9/13/2019,2019,Warner Bros.,Drama,"$5,332,621","582,164"
156,Stan & Ollie,12/28/2018,2019,Sony Pictures Cla…,Drama,"$5,235,893","571,604"
157,Don’t Let Go,8/30/2019,2019,OTL Releasing,Thriller/Suspense,"$5,215,062","569,330"
158,The Sun is Also a Star,5/17/2019,2019,Warner Bros.,Drama,"$4,950,029","540,396"
159,Bring the Soul: The Movie,8/7/2019,2019,Trafalgar Releasing,Documentary,"$4,809,800","525,087"
160,Pavarotti,6/7/2019,2019,CBS Films,Documentary,"$4,686,402","511,615"
161,Tolkien,5/10/2019,2019,Fox Searchlight,Drama,"$4,535,154","495,104"
162,The Last Black Man in San F…,6/7/2019,2019,A24,Drama,"$4,515,719","492,982"
163,Amazing Grace,4/5/2019,2019,Neon,Documentary,"$4,450,454","485,857"
164,Brian Banks,8/9/2019,2019,Bleecker Street,Drama,"$4,376,820","477,818"
165,The Biggest Little Farm,5/10/2019,2019,Neon,Documentary,"$4,367,816","476,835"
166,Dr. Seuss’ The Grinch,11/9/2018,2019,Universal,Adventure,"$4,340,540","473,858"
167,Cold War,12/21/2018,2019,Amazon Studios,Drama,"$4,307,930","470,298"
168,Linda Ronstadt: The Sound o…,9/6/2019,2019,Greenwich,Documentary,"$4,244,894","463,416"
169,Gully Boy,2/14/2019,2019,Viva Entertainment,Drama,"$4,216,437","460,309"
170,Uri: The Surgical Strike,1/11/2019,2019,PackYourBag Films,Action,"$4,185,663","456,950"
171,Replicas,1/11/2019,2019,Entertainment Stu…,Thriller/Suspense,"$4,046,429","441,749"
172,Pain & Glory,10/4/2019,2019,Sony Pictures Cla…,Drama,"$3,967,719","433,157"
173,Ne Zha,8/29/2019,2019,Well Go USA,Adventure,"$3,695,533","403,442"
174,Mission Mangal,8/15/2019,2019,FIP,Drama,"$3,660,413","399,608"
175,War,10/2/2019,2019,Yash Raj Films,Action,"$3,640,355","397,418"
176,2019 Oscar Shorts,2/8/2019,2019,ShortsHD,Multiple Genres,"$3,531,093","385,490"
177,The Beach Bum,3/29/2019,2019,Neon,Comedy,"$3,502,600","382,379"
178,Echo in the Canyon,5/24/2019,2019,Greenwich,Documentary,"$3,355,266","366,295"
179,Jay and Silent Bob Reboot,10/15/2019,2019,Fathom Events,Comedy,"$3,258,824","355,766"
180,Maiden,6/28/2019,2019,Sony Pictures Cla…,Documentary,"$3,162,490","345,250"
181,Honey Boy,11/8/2019,2019,Amazon Studios,Drama,"$2,980,099","325,338"
182,Friends 25th: The One With …,9/23/2019,2019,Fathom Events,Comedy,"$2,884,827","314,937"
183,IP Man: The Finale,12/25/2019,2019,Well Go USA,Action,"$2,866,676","312,955"
184,Fantastic Beasts: The Crime…,11/16/2018,2019,Warner Bros.,Adventure,"$2,774,042","302,843"
185,Kalank,4/17/2019,2019,FIP,Drama,"$2,729,336","297,962"
186,Bharat,6/5/2019,2019,Viva Entertainment,Action,"$2,684,911","293,112"
187,Everybody Knows,2/8/2019,2019,Focus Features,Drama,"$2,677,805","292,337"
188,Tod@s Caen,8/30/2019,2019,Lionsgate,Romantic Comedy,"$2,670,925","291,585"
189,Saaho,8/29/2019,2019,Yash Raj Films,Action,"$2,626,284","286,712"
190,Instant Family,11/16/2018,2019,Paramount Pictures,Comedy,"$2,518,231","274,916"
191,The Art of Self-Defense,7/12/2019,2019,Bleecker Street,Comedy,"$2,410,914","263,200"
192,Arctic,2/1/2019,2019,Bleecker Street,Drama,"$2,409,826","263,081"
193,Welcome to Marwen,12/21/2018,2019,Universal,Drama,"$2,405,625","262,623"
194,"My People, My Country",10/1/2019,2019,CMC Pictures,Drama,"$2,323,409","253,647"
195,Promare,9/17/2019,2019,GKIDS,Adventure,"$2,290,542","250,059"
196,Super 30,7/12/2019,2019,Reliance Entertai…,Drama,"$2,269,878","247,803"
197,Holmes & Watson,12/25/2018,2019,Sony Pictures,Comedy,"$2,254,994","246,178"
198,The Fall of the American Em…,5/31/2019,2019,Entertainment One,Comedy,"$2,178,148","237,789"
199,Total Dhamaal,2/22/2019,2019,FIP,Comedy,"$2,167,632","236,641"
200,Housefull 4,10/25/2019,2019,FIP,Romantic Comedy,"$2,109,160","230,257"
1,Bad Boys For Life,1/17/2020,2020,Sony Pictures,Action,"$204,417,855","22,267,740"
2,1917,12/25/2019,2020,Universal,Thriller/Suspense,"$157,901,466","17,200,595"
3,Sonic The Hedgehog,2/14/2020,2020,Paramount Pictures,Adventure,"$146,066,470","15,911,380"
4,Jumanji: The Next Level,12/13/2019,2020,Sony Pictures,Adventure,"$124,736,710","13,587,876"
5,Star Wars: The Rise of Skyw…,12/20/2019,2020,Walt Disney,Adventure,"$124,496,308","13,561,689"
6,Birds of Prey (And the Fant…,2/7/2020,2020,Warner Bros.,Action,"$84,158,461","9,167,588"
7,Dolittle,1/17/2020,2020,Universal,Adventure,"$77,047,065","8,392,926"
8,Little Women,12/25/2019,2020,Sony Pictures,Drama,"$70,502,828","7,680,046"
9,The Invisible Man,2/28/2020,2020,Universal,Horror,"$64,914,050","7,071,247"
10,The Call of the Wild,2/21/2020,2020,20th Century Studios,Adventure,"$62,342,368","6,791,107"
11,Onward,3/6/2020,2020,Walt Disney,Adventure,"$61,555,145","6,705,353"
12,Tenet,9/3/2020,2020,Warner Bros.,Action,"$58,044,165","6,322,893"
13,The Gentlemen,1/24/2020,2020,STX Entertainment,Action,"$36,471,796","3,972,962"
14,Just Mercy,1/10/2020,2020,Warner Bros.,Drama,"$35,733,621","3,892,551"
15,Knives Out,11/27/2019,2020,Lionsgate,Drama,"$35,244,610","3,839,282"
16,The Croods: A New Age,11/25/2020,2020,Universal,Adventure,"$32,334,280","3,522,252"
17,Parasite,10/11/2019,2020,Neon,Black Comedy,"$29,518,856","3,215,561"
18,Frozen II,11/22/2019,2020,Walt Disney,Musical,"$26,934,045","2,933,991"
19,Fantasy Island,2/14/2020,2020,Sony Pictures,Horror,"$26,441,782","2,880,368"
20,The New Mutants,8/28/2020,2020,20th Century Studios,Horror,"$23,855,569","2,598,645"
21,Wonder Woman 1984,12/25/2020,2020,Warner Bros.,Action,"$23,009,311","2,506,460"
22,Like a Boss,1/10/2020,2020,Paramount Pictures,Comedy,"$22,169,514","2,414,979"
23,Unhinged,8/21/2020,2020,Solstice Studios,Thriller/Suspense,"$20,831,465","2,269,222"
24,The Photograph,2/14/2020,2020,Universal,Drama,"$20,578,185","2,241,632"
25,Spies in Disguise,12/25/2019,2020,20th Century Fox,Adventure,"$19,714,592","2,147,559"
26,The War with Grandpa,10/9/2020,2020,101 Studios,Comedy,"$18,861,607","2,054,641"
27,Underwater,1/10/2020,2020,20th Century Fox,Thriller/Suspense,"$17,291,078","1,883,559"
28,The Turning,1/24/2020,2020,Universal,Horror,"$15,472,775","1,685,487"
29,Gretel & Hansel,1/31/2020,2020,United Artists,Horror,"$15,347,654","1,671,857"
30,Honest Thief,10/16/2020,2020,Open Road,Thriller/Suspense,"$14,163,574","1,542,872"
31,The Way Back,3/6/2020,2020,Warner Bros.,Drama,"$13,590,514","1,480,448"
32,My Hero Academia: Heroes: R…,2/26/2020,2020,FUNimation,Adventure,"$13,553,826","1,476,451"
33,Uncut Gems,12/25/2019,2020,A24,Thriller/Suspense,"$13,467,396","1,467,036"
34,Brahms: The Boy II,2/21/2020,2020,STX Entertainment,Horror,"$12,611,536","1,373,805"
35,Jojo Rabbit,10/18/2019,2020,Fox Searchlight,Black Comedy,"$11,791,356","1,284,461"
36,Impractical Jokers: The Movie,2/21/2020,2020,truTV,Comedy,"$10,466,091","1,140,097"
37,I Still Believe,3/13/2020,2020,Lionsgate,Drama,"$10,410,004","1,133,987"
38,Emma.,2/21/2020,2020,Focus Features,Drama,"$10,055,355","1,095,354"
39,Bloodshot,3/13/2020,2020,Sony Pictures,Action,"$10,021,787","1,091,697"
40,The Grudge,1/3/2020,2020,Sony Pictures,Horror,"$9,812,035","1,068,849"
41,Come Play,10/30/2020,2020,Focus Features,Horror,"$9,505,540","1,035,461"
42,Let Him Go,11/6/2020,2020,Focus Features,Thriller/Suspense,"$9,347,940","1,018,294"
43,Freaky,11/13/2020,2020,Universal,Horror,"$8,702,060","947,936"
44,Downhill,2/14/2020,2020,Searchlight Pictures,Drama,"$8,287,061","902,729"
45,Weathering With You,1/15/2020,2020,GKIDS,Drama,"$7,798,703","849,531"
46,Ford v. Ferrari,11/15/2019,2020,20th Century Fox,Drama,"$7,648,018","833,117"
47,Cats,12/20/2019,2020,Universal,Musical,"$7,196,675","783,951"
48,Bombshell,12/13/2019,2020,Lionsgate,Drama,"$7,172,836","781,354"
49,It's a Wonderful Life,12/20/1946,2020,,Drama,"$6,644,000","723,747"
50,The Hunt,3/13/2020,2020,Universal,Thriller/Suspense,"$5,812,500","633,169"
51,The Rhythm Section,1/31/2020,2020,Paramount Pictures,Thriller/Suspense,"$5,437,971","592,371"
52,Monster Hunter,12/18/2020,2020,Sony Pictures,Action,"$5,018,403","546,666"
53,The SpongeBob Movie: Sponge…,8/14/2020,2020,Paramount Pictures,Adventure,"$4,810,790","524,051"
54,Hocus Pocus,7/16/1993,2020,Walt Disney,Comedy,"$4,777,471","520,421"
55,National Lampoon’s Christma…,12/1/1989,2020,Warner Bros.,Comedy,"$4,593,728","500,406"
56,Richard Jewell,12/13/2019,2020,Warner Bros.,Drama,"$4,523,325","492,736"
57,The Broken Hearts Gallery,9/11/2020,2020,Sony Pictures,Romantic Comedy,"$4,066,487","442,972"
58,Infidel,9/18/2020,2020,Cloudburst Entert…,Thriller/Suspense,"$4,051,990","441,393"
59,A Christmas Story,11/18/1983,2020,MGM,Comedy,"$3,896,391","424,443"
60,Portrait of a Lady on Fire,12/6/2019,2020,Neon,Drama,"$3,759,854","409,570"
61,News of the World,12/25/2020,2020,Universal,Western,"$3,717,170","404,920"
62,Bill & Ted Face the Music,8/28/2020,2020,United Artists,Comedy,"$3,439,660","374,690"
63,2020 Oscar Shorts,1/29/2020,2020,ShortsHD,Multiple Genres,"$3,304,748","359,994"
64,Fatale,12/18/2020,2020,Lionsgate,Thriller/Suspense,"$3,089,694","336,567"
65,Queen & Slim,11/27/2019,2020,Universal,Drama,"$3,089,365","336,532"
