Rank,Movie,"Release
Date",Year,Distributor,Genre,1996 Gross,Tickets Sold
21,Dante’s Peak,2/7/1997,1997,Universal,Thriller/Suspense,"$67,163,857","14,632,648"
22,Anaconda,4/11/1997,1997,Sony Pictures,Horror,"$65,598,907","14,291,700"
23,Scream,12/20/1996,1997,Miramax,Horror,"$63,916,834","13,925,236"
24,The Fifth Element,5/9/1997,1997,Sony Pictures,Action,"$63,570,862","13,849,861"
25,In & Out,9/19/1997,1997,Paramount Pictures,Comedy,"$63,417,425","13,816,432"
26,The Saint,4/4/1997,1997,Paramount Pictures,Action,"$61,363,304","13,368,911"
27,Jungle 2 Jungle,3/7/1997,1997,Walt Disney,Comedy,"$59,925,026","13,055,561"
28,Kiss the Girls,10/3/1997,1997,Paramount Pictures,Thriller/Suspense,"$59,757,672","13,019,100"
29,Devil’s Advocate,10/17/1997,1997,Warner Bros.,Horror,"$59,092,127","12,874,101"
30,Spawn,7/31/1997,1997,New Line,Action,"$54,979,992","11,978,211"
31,Starship Troopers,11/7/1997,1997,Sony Pictures,Action,"$54,320,555","11,834,543"
32,Austin Powers: Internationa…,5/2/1997,1997,New Line,Comedy,"$53,883,989","11,739,431"
33,The Jackal,11/14/1997,1997,Universal,Thriller/Suspense,"$53,153,666","11,580,319"
34,Anastasia,11/14/1997,1997,20th Century Fox,Musical,"$53,147,865","11,579,055"
35,The English Patient,11/15/1996,1997,Miramax,Drama,"$50,644,298","11,033,616"
36,Breakdown,5/2/1997,1997,Paramount Pictures,Thriller/Suspense,"$50,159,144","10,927,918"
37,Absolute Power,2/14/1997,1997,Sony Pictures,Thriller/Suspense,"$50,068,310","10,908,128"
38,The Game,9/12/1997,1997,Polygram,Thriller/Suspense,"$48,265,581","10,515,377"
39,G.I.Jane,8/22/1997,1997,Walt Disney,Drama,"$48,169,156","10,494,369"
40,Speed II: Cruise Control,6/13/1997,1997,20th Century Fox,Action,"$48,068,396","10,472,417"
41,Star Wars Ep. VI: Return of…,3/14/1997,1997,20th Century Fox,Adventure,"$48,063,790","10,471,413"
42,Evita,12/25/1996,1997,Walt Disney,Musical,"$47,769,067","10,407,204"
43,Volcano,4/25/1997,1997,20th Century Fox,Action,"$47,546,796","10,358,779"
44,Alien: Resurrection,11/26/1997,1997,20th Century Fox,Action,"$46,147,034","10,053,820"
45,The Rainmaker,11/21/1997,1997,Paramount Pictures,Drama,"$45,182,594","9,843,702"
46,Bean,10/17/1997,1997,Gramercy,Comedy,"$45,105,316","9,826,866"
47,Cop Land,8/15/1997,1997,Miramax,Drama,"$44,906,632","9,783,579"
48,Nothing To Lose,7/18/1997,1997,Walt Disney,Comedy,"$44,480,039","9,690,640"
49,Soul Food,9/26/1997,1997,20th Century Fox,Comedy,"$43,201,124","9,412,009"
50,The Devil's Own,3/26/1997,1997,Sony Pictures,Thriller/Suspense,"$42,885,593","9,343,266"
51,Michael,12/25/1996,1997,New Line,Comedy,"$42,611,506","9,283,552"
52,Donnie Brasco,2/28/1997,1997,Sony Pictures,Drama,"$41,954,997","9,140,522"
53,As Good as it Gets,12/24/1997,1997,Sony Pictures,Romantic Comedy,"$41,563,194","9,055,162"
54,The Peacemaker,9/26/1997,1997,Dreamworks SKG,Action,"$41,263,140","8,989,790"
55,Private Parts,3/7/1997,1997,Paramount Pictures,Comedy,"$41,198,146","8,975,630"
56,Money Talks,8/22/1997,1997,New Line,Action,"$41,076,865","8,949,208"
57,Mouse Hunt,12/19/1997,1997,Dreamworks SKG,Comedy,"$40,081,904","8,732,440"
58,L.A. Confidential,9/19/1997,1997,Warner Bros.,Drama,"$38,296,320","8,343,424"
59,Seven Years in Tibet,10/8/1997,1997,Sony Pictures,Drama,"$37,600,360","8,191,799"
60,Vegas Vacation,2/14/1997,1997,Warner Bros.,Comedy,"$36,470,465","7,945,635"
61,The Full Monty,8/13/1997,1997,Fox Searchlight,Comedy,"$35,431,393","7,719,257"
62,Selena,3/21/1997,1997,Warner Bros.,Drama,"$35,422,828","7,717,391"
63,Mortal Kombat: Annihilation,11/21/1997,1997,New Line,Action,"$35,059,903","7,638,323"
64,Addicted To Love,5/23/1997,1997,Warner Bros.,Romantic Comedy,"$34,673,095","7,554,051"
65,Amistad,12/12/1997,1997,Dreamworks SKG,Drama,"$34,043,386","7,416,859"
66,The Relic,1/10/1997,1997,Paramount Pictures,Horror,"$33,956,608","7,397,953"
