Original title,Producing country,Production year,Directors,Admissions 1996-1996,Total EU27+GB since 1996
Mia et le lion blanc,"FR, DE, ZA",2018,Gilles de Maistre,3 970 737,4 569 192
Hustlers,US,2019,Lorene Scafaria,3 940 209,3 983 257
Godzilla: King of the Monsters,"US, JP, CN, MX",2019,Michael Dougherty,3 788 394,3 788 564
Escape Room,"US, ZA",2019,Adam Robitel,3 768 394,3 772 355
Pet Sematary,US,2019,"Kevin Kolsch, Dennis Widmyer",3 683 134,3 687 177
Dolor y gloria,"ES, FR",2019,Pedro Almodóvar,3 596 284,3 689 669
Organize Isler: Sazan Sarmali,TR,2019,Yilmaz Erdogan,3 586 479,3 586 479
Parasite,KR,2019,Bong Joon Ho,3 437 005,9 451 392
Astérix: Le secret de la potion magique,"FR, BE",2018,"Alexandre Astier, Louis Clichy",3 343 324,6 513 544
Der Junge muss an die frische Luft,DE,2018,Caroline Link,3 121 980,3 973 096
Bumblebee,"US, CN",2018,Travis Knight,3 109 813,6 478 859
Nous finirons ensemble,"FR, BE",2019,Guillaume Canet,3 067 808,3 070 947
Instant Family,US,2018,Sean Anders,3 066 856,3 067 752
Rambo: Last Blood,"US, HK, BG",2019,Adrian Grunberg,2 988 192,2 989 980
The Curse of la Llorona,US,2019,Michael Chaves,2 970 728,2 971 784
Dora and the Lost City of Gold,"US, AU",2019,James Bobin,2 963 502,2 990 865
Zombieland: Double Tap,US,2019,Ruben Fleischer,2 697 138,2 719 022
Mary Queen of Scots,"GBinc, US",2018,Josie Rourke,2 688 022,2 689 295
Five Feet Apart,US,2019,Justin Baldoni,2 610 725,2 612 939
Good Boys,US,2019,Gene Stupnitsky,2 457 946,2 460 299
Hors normes,"FR, BE",2019,"Olivier Nakache, Eric Toledano",2 436 147,2 894 001
Miszmasz czyli Kogel Mogel 3,PL,2019,Kordian Piwowarski,2 426 590,2 426 920
Padre no hay más que uno,ES,2019,Santiago Segura,2 387 973,2 393 936
Cold Pursuit,"US, FR, GB, CN, NO",2019,Hans Petter Moland,2 367 052,2 367 682
Stan & Ollie,"GB, CA, US",2018,Jon S. Baird,2 250 028,2 260 894
A Rainy Day in New York,US,2019,Woody Allen,2 195 837,2 304 345
Vice,US,2018,Adam McKay,2 192 546,2 202 185
Kral Sakir Korsanlar Diyari,TR,2019,"Haluk Can Dizdaroglu, Berk Tokay",2 107 663,2 107 825
J'accuse,"FR, IT",2019,Roman Polanski,2 095 188,2 775 332
Il primo Natale,IT,2019,"Salvatore Ficarra, Valentino Picone",2 082 598,2 381 489
Au nom de la terre,"FR, BE",2019,Edouard Bergeon,2 038 493,2 072 475
Midway,"US, CN, HK, CA",2019,Roland Emmerich,2 035 352,2 071 912
Spider-Man: Into the Spider-Verse,US,2018,"Bob Persichetti, Peter Ramsey, Rodney Rothman",2 009 986,5 515 930
Polityka,PL,2019,Patryk Vega,2 001 106,2 001 106
A Dog's Way Home,"CN, US",2019,Charles Martin Smith,1 976 859,1 978 175
Doctor Sleep,US,2019,Mike Flanagan,1 897 336,1 900 533
La vie scolaire,FR,2019,"Mehdi Idir, Grand Corps Malade",1 849 644,1 863 261
Lo dejo cuando quiera,ES,2019,Carlos Therón,1 840 253,1 840 262
Mientras dure la guerra,"ES, AR",2019,Alejandro Amenábar,1 806 816,1 954 888
Les misérables,FR,2019,Ladj Ly,1 802 160,2 622 211
La Belle Époque,"FR, BE",2019,Nicolas Bedos,1 749 937,2 083 118
Mucize 2: Ask,TR,2019,Mahsun Kirmizigül,1 747 028,2 018 949
Scary Stories to Tell in the Dark,"US, CA, CN",2019,André Øvredal,1 739 423,1 741 387
Cep Herkülü: Naim Süleymanoglu,TR,2019,Ozer Feyzioglu,1 735 443,1 902 039
Nicky Larson et le parfum de Cupidon,FR,2018,Philippe Lacheau,1 724 259,1 735 439
The Grinch,US,2018,"Yarrow Cheney, Scott Mosier",1 721 256,17 805 857
Si yo fuera rico,ES,2019,Álvaro Fernández Armero,1 709 288,1 897 205
Happy Death Day 2U,"US, JP",2019,Christopher Landon,1 682 188,1 682 622
Zeny v behu,CZ,2019,Martin Horský,1 675 569,1 705 959
Le chant du loup,FR,2018,Antonin Baudry,1 669 155,1 676 257
Pinocchio,"IT, FR, GB",2019,Matteo Garrone,1 657 038,3 112 976
Hellboy,"US, GB, BG, CA",2019,Neil Marshall,1 650 637,1 650 642
Anna,"FR, US",2019,Luc Besson,1 618 343,1 618 764
Long Shot,US,2019,Jonathan Levine,1 613 359,1 614 392
Cats,"GBinc, US",2019,Tom Hooper,1 589 878,2 434 068
Les invisibles,FR,2018,Louis-Julien Petit,1 586 254,1 629 881
A Star Is Born,US,2018,Bradley Cooper,1 574 058,14 904 498
Ready or Not,US,2019,"Matt Bettinelli-Olpin, Tyler Gillett",1 531 152,1 533 214
Donne-moi des ailes,"FR, NO",2019,Nicolas Vanier,1 523 997,1 831 254
Second Act,US,2018,Peter Segal,1 521 894,2 083 385
Crawl,US,2019,Alexandre Aja,1 498 526,1 499 218
Spies in Disguise,US,2019,"Nick Bruno, Troy Quane",1 496 417,5 312 376
Leberkäsjunkie,DE,2019,Ed Herzog,1 478 053,1 500 912
Planeta Singli 3,PL,2019,"Sam Akina, Michal Chacinski",1 477 908,1 477 918
Playmobil: The Movie,"FR, US, DE",2019,Lino DiSalvo,1 472 242,1 612 233
Doragon bôru chô: Burorî,JP,2018,Tatsuya Nagamine,1 443 208,1 448 974
Boze Cialo,"PL, FR",2019,Jan Komasa,1 419 506,1 683 603
Countdown,US,2019,Justin Dec,1 395 232,1 779 295
C'est quoi cette mamie?!,"FR, BE",2019,Gabriel Julien-Laferrière,1 337 170,1 338 282
At Eternity's Gate,"US, FR, GB, CH, IE",2018,Julian Schnabel,1 317 855,1 327 184
Judy,"GB, US, FR",2019,Rupert Goold,1 301 610,2 129 501
Joyeuse retraite!,FR,2019,Fabrice Bracq,1 291 097,1 380 906
A Dog's Journey,"US, CN, IN",2019,Gail Mancuso,1 284 658,1 290 749
Minuscule 2: Les mandibules du bout du monde,"FR, CN, CH",2018,"Hélène Giraud, Thomas Szabo",1 225 568,1 277 533
Ma,"US, JP",2019,Tate Taylor,1 224 561,1 225 313
Can Dostlar,TR,2019,Tugçe Soysop,1 218 887,1 218 887
Fisherman's Friends,GB,2019,Chris Foggin,1 217 946,1 259 971
Missing Link,US,2019,Chris Butler,1 215 907,1 301 798
Kobiety mafii 2,PL,2019,Patryk Vega,1 210 312,1 210 312
10 giorni senza mamma,IT,2019,Alessandro Genovesi,1 204 887,1 206 366
Casino Royale,"GBinc, US, DE, CZ",2006,Martin Campbell,1 184 693,30 732 736
Le mystère Henri Pick,"FR, BE",2019,Rémi Bezançon,1 176 428,1 340 196
Midsommar,"US, SE",2019,Ari Aster,1 168 712,1 189 437
Il traditore,"IT, FR, DE, BR",2019,Marco Bellocchio,1 167 060,1 318 808
Bizim Için Sampiyon,TR,2018,Ahmet Katiksiz,1 113 145,2 576 434
Grâce à Dieu,"FR, BE",2018,François Ozon,1 096 502,1 109 171
Inséparables,FR,2019,Varante Soudjian,1 085 632,1 089 982
"Tanguy, le retour",FR,2019,Étienne Chatiliez,1 067 383,1 067 383
Fantastic Beasts: The Crimes of Grindelwald,"GBinc, US",2018,David Yates,1 060 564,23 300 389
UglyDolls,"CN, CA, US",2019,Kelly Asbury,1 046 748,1 052 540
Fighting with My Family,"GBinc, US",2019,Stephen Merchant,1 029 570,1 029 777
Il giorno più bello del mondo,IT,2019,Alessandro Siani,1 012 063,1 013 997
Rebelles,FR,2019,Allan Mauduit, 981 216, 983 786
Sorry We Missed You,"GB, BE, FR",2019,Ken Loach, 962 921,1 339 521
Underdog,PL,2019,Maciej Kawulski, 958 275, 958 275
Rafadan Tayfa Göbeklitepe,TR,2019,İsmail Fidan, 956 540,3 503 593
Red Joan,GB,2018,Trevor Nunn, 948 335, 949 852
Ibiza,"FR, BE",2019,Arnaud Lemort, 946 579, 947 433
Jak poslubic milionera,PL,2019,Filip Zylber, 938 911, 939 012
Çiçero,TR,2019,Serdar Akar, 938 138, 938 138
What Men Want,US,2019,Adam Shankman, 933 746, 933 896
The Good Liar,"US, CA",2019,Bill Condon, 932 263,1 146 338
The White Crow,"GB, US, RS",2018,Ralph Fiennes, 928 673, 946 454
On the Basis of Sex,"US, CN, CA",2018,Mimi Leder, 927 574, 944 076
Little Women,US,2019,Greta Gerwig, 889 695,7 329 207
All Inclusive,"FR, BE",2019,Fabien Onteniente, 884 075, 884 075
Child's Play,"US, CA, FR",2019,Lars Klevberg, 879 875, 880 549
Der Fall Collini,DE,2019,Marco Kreuzpaintner, 878 282, 981 780
L'immortale,"IT, DE",2019,Marco D'Amore, 872 398, 880 860
The Dead Don't Die,"US, SE",2019,Jim Jarmusch, 859 463, 861 225
Ostwind: Aris Ankunft,DE,2019,Theresa von Eltz, 857 326, 867 346
Colette,"GB, US, HU",2018,Wash Westmoreland, 856 191,1 127 738
Brightburn,US,2019,David Yarovesky, 855 995, 856 019
Le meilleur reste à venir,"FR, BE",2019,"Alexandre de La Patellière, Matthieu Delaporte", 853 784,1 183 518
L'incroyable histoire du facteur Cheval,"FR, BE",2018,Nils Tavernier, 828 644, 848 098
Cinayet Süsü,TR,2019,Ali Atay, 827 342, 827 424
The Kid Who Would Be King,"GBinc, US",2019,Joe Cornish, 825 924, 883 893
Manbiki kazoku,JP,2018,Hirokazu Koreeda, 811 618,1 818 212
Edmond,"FR, BE",2018,Alexis Michalik, 797 911, 826 832
Ma cosa ci dice il cervello,IT,2019,Riccardo Milani, 784 393, 785 860
Ternet ninja,DK,2018,"Thorbjørn Christoffersen, Anders Matthesen", 776 102,1 327 811
Capharnaüm,"LB, FR, US",2018,Nadine Labaki, 768 452,1 206 612
La Befana vien di notte,"IT, ES",2018,Michele Soavi, 763 209,1 287 472
Chamboultout,"FR, BE",2019,Eric Lavaine, 756 201, 759 945
La dea fortuna,IT,2019,Ferzan Ozpetek, 755 702,1 274 409
Cetto c'è senzadubbiamente,IT,2019,Giulio Manfredonia, 752 823, 753 234
Alice et le maire,"FR, BE",2019,Nicolas Pariser, 749 842, 861 806
Charlie's Angels,US,2019,Elizabeth Banks, 746 912,1 217 532
Non ci resta che il crimine,IT,2019,Massimiliano Bruno, 725 767, 726 160
100 Dinge,DE,2018,Florian David Fitz, 723 211,1 868 834
Karakomik Filmler: Kaçamak,TR,2019,Cem Yilmaz, 709 539, 709 577
Portrait de la jeune fille en feu,FR,2019,Céline Sciamma, 704 912,1 063 605
Öldür Beni Sevgilim,TR,2019,Senol Sönmez, 695 341, 695 347
Blinded by the Light,"GB, US",2019,Gurinder Chadha, 694 920, 708 226
The Upside,US,2017,Neil Burger, 694 633, 695 523
Deux moi,"FR, BE",2019,Cédric Klapisch, 693 524, 734 214
Motherless Brooklyn,US,2019,Edward Norton, 688 198, 811 574
(Nie)znajomi,PL,2019,Tadeusz Sliwa, 684 833, 685 075
The Prodigy,"US, CA",2019,Nicholas McCarthy, 682 791, 682 894
Proceder,PL,2019,Michal Wegrzyn, 677 136, 677 136
Die Goldfische,DE,2019,Alireza Golafshan, 676 822, 690 071
Systemsprenger,DE,2019,Nora Fingscheidt, 675 420, 819 967
Tolkien,US,2019,Dome Karukoski, 667 280, 667 886
1917,"GBinc, US",2019,Sam Mendes,15 811 468,15 844 932
Tenet,"US, GB",2020,Christopher Nolan,12 040 442,12 088 624
Bad Boys for Life,"US, MX",2020,"Adil El Arbi, Bilall Fallah",10 751 681,10 765 675
Sonic the Hedgehog,"US, JP, CA",2020,Jeff Fowler,9 629 905,9 647 938
Dolittle,"US, CN, GB, JP",2020,Stephen Gaghan,8 246 740,8 261 176
Star Wars: Episode IX - The Rise of Skywalker,US,2019,J.J. Abrams,8 086 774,32 333 708
Jumanji: The Next Level,US,2019,Jake Kasdan,7 221 757,20 379 350
Tolo Tolo,IT,2020,Checco Zalone,6 704 070,6 705 818
Little Women,US,2019,Greta Gerwig,6 430 615,7 329 207
Parasite,KR,2019,Bong Joon Ho,5 983 248,9 451 392
Frozen 2,US,2019,"Chris Buck, Jennifer Lee",5 889 997,42 363 103
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,US,2020,Cathy Yan,5 408 496,5 408 692
The Gentlemen,US,2019,Guy Ritchie,4 767 874,4 783 044
Onward,US,2020,Dan Scanlon,4 340 784,4 351 675
After We Collided,US,2020,Roger Kumble,4 268 604,4 333 491
Jojo Rabbit,"US, NZ, CZ",2019,Taika Waititi,3 901 404,3 960 346
Eltilerin Savasi,TR,2020,Onur Bilgetay,3 828 368,3 828 368
Spies in Disguise,US,2019,"Nick Bruno, Troy Quane",3 814 324,5 312 376
The Call of the Wild,"US, CA",2020,Chris Sanders,3 214 855,3 229 043
The Invisible Man,"US, AU",2020,Leigh Whannell,3 211 179,3 213 320
Knives Out,US,2019,Rian Johnson,3 059 474,8 007 890
Trolls World Tour,US,2020,"Walt Dohrn, David Smith",2 785 640,2 900 221
Scoob!,US,2020,Tony Cervone,2 746 982,2 791 253
Rafadan Tayfa Göbeklitepe,TR,2019,İsmail Fidan,2 547 034,3 503 593
Greenland,"US, GB",2020,Ric Roman Waugh,2 127 724,2 175 925
Baba Parasi,TR,2019,Selçuk Aydemir,1 896 340,2 071 090
Padre no hay más que uno 2: La llegada de la suegra,ES,2020,Santiago Segura,1 892 870,1 893 595
Richard Jewell,US,2019,Clint Eastwood,1 820 053,1 820 927
365 dni,PL,2020,"Barbara Bialowas, Tomasz Mandes",1 704 098,1 704 098
Bombshell,"US, CA",2019,Jay Roach,1 693 229,1 758 080
Ducobu 3,"FR, BE",2020,Elie Semoun,1 598 352,1 599 199
Nightlife,DE,2020,Simon Verhoeven,1 569 176,1 622 384
Me contro Te - Il film: La vendetta del Signor S,IT,2020,Gianluca Leuzzi,1 552 244,1 553 158
Adú,ES,2020,Salvador Calvo,1 508 178,1 512 200
The New Mutants,US,2020,Josh Boone,1 478 680,1 480 072
Unhinged,"US, GB",2020,Derrick Borte,1 463 248,1 533 122
Pinocchio,"IT, FR, GB",2019,Matteo Garrone,1 432 998,3 112 976
The Grudge,"US, CA",2020,Nicolas Pesce,1 347 796,1 347 796
10 jours sans maman,FR,2020,Ludovic Bernard,1 326 695,1 329 834
Emma.,"GB, US, CN",2020,Autumn de Wilde,1 298 350,1 304 093
Fantasy Island,US,2020,Jeff Wadlow,1 292 522,1 295 540
Psy 3: W imie zasad,PL,2020,Wladyslaw Pasikowski,1 272 421,1 272 473
Jak zostalem gangsterem. Historia prawdziwa,PL,2019,Maciej Kawulski,1 179 147,1 179 147
30 jours max,FR,2020,Tarek Boudali,1 170 356,1 390 893
Odio l'estate,IT,2020,Massimo Venier,1 169 033,1 170 687
Les blagues de Toto,"FR, LU, BE",2020,Pascal Bourdiaux,1 114 043,1 125 500
The Personal History of David Copperfield,"US, GB",2019,Armando Iannucci,1 104 365,1 114 403
Dark Waters,US,2019,Todd Haynes,1 102 938,1 112 307
Bigfoot Family,"BE, FR",2020,"Jeremy Degruson, Ben Stassen",1 101 535,1 676 288
Drunk,"DK, SE, NL",2020,Thomas Vinterberg,1 092 841,3 028 610
Just Mercy,US,2019,Destin Daniel Cretton,1 087 740,1 090 504
Bayi Toplantisi,TR,2020,Bedran Güzel,1 062 476,1 062 476
Trouble,"CA, US, KY",2019,Kevin Johnson,1 061 539,1 610 415
Le prince oublié,"FR, BE",2020,Michel Hazanavicius,1 013 114,1 015 730
Mayday,PL,2020,Sam Akina, 978 041, 978 041
Gli anni più belli,IT,2020,Gabriele Muccino, 954 712,1 057 096
Das perfekte Geheimnis,DE,2019,Bora Dagtekin, 933 395,6 266 700
De Gaulle,FR,2020,Gabriel Le Bomin, 901 176, 915 794
Hammamet,IT,2020,Gianni Amelio, 901 137, 901 368
Sifir Bir,TR,2020,Kadri Beran Taskin, 868 734, 868 734
Jim Knopf und die Wilde 13,DE,2020,Dennis Gansel, 849 077, 934 550
Cats,"GBinc, US",2019,Tom Hooper, 844 063,2 434 068
Die Känguru-Chroniken,DE,2020,Dani Levy, 836 736, 846 281
Honest Thief,US,2020,Mark Williams, 832 253, 888 962
Judy,"GB, US, FR",2019,Rupert Goold, 825 610,2 129 501
Antoinette dans les Cévennes,"FR, BE",2020,Caroline Vignal, 818 863, 904 525
Underwater,US,2020,William Eubank, 808 889, 808 899
Hayaller Ülkesi: Gamonya,TR,2020,Tugçe Soysop, 808 671, 808 671
Les misérables,FR,2019,Ladj Ly, 806 985,2 622 211
The War with Grandpa,"US, GB, CA",2020,Tim Hill, 791 648,1 385 337
Tout simplement noir,FR,2020,"John Wax, Jean-Pascal Zadi", 777 837, 779 442
Als Hitler das rosa Kaninchen stahl,"DE, CH",2019,Caroline Link, 769 051,1 136 667
Adieu les cons,FR,2020,Albert Dupontel, 741 596,2 139 777
Die Hochzeit,DE,2020,Til Schweiger, 733 550, 734 936
25 lat niewinnosci. Sprawa Tomka Komendy,PL,2020,Jan Holoubek, 728 811, 732 962
La bonne épouse,"FR, BE",2020,Martin Provost, 726 557, 771 517
Playing with Fire,US,2019,Andy Fickman, 720 900,1 042 498
De beentjes van Sint-Hildegard,NL,2020,Johan Nijenhuis, 711 229, 711 602
Lindenberg! Mach dein Ding,DE,2020,Hermine Huntgeburth, 701 548, 711 123
Divorce Club,FR,2020,Michaël Youn, 700 459, 701 664
J'accuse,"FR, IT",2019,Roman Polanski, 671 636,2 775 332
Wonder Woman 1984,US,2020,Patty Jenkins, 657 035,1 030 326
Mulan,"US, CA, HK",2020,Niki Caro, 654 876, 659 021
Les vétos,FR,2019,Julie Manoukian, 648 109, 724 037
Red Shoes and the Seven Dwarfs,KR,2019,"Sung-ho Hong, Moo-Hyun Jang, Young Sik Uhm", 642 595, 798 113
The Secret Garden,"GB, FR, US, CN",2020,Marc Munden, 641 651, 669 207
Bloodshot,US,2020,Dave Wilson, 638 337, 639 146
Malasaña 32,"ES, FR",2020,Albert Pintó, 629 911, 699 177
Brahms: The Boy II,"US, CN, CA, AU",2020,William Brent Bell, 623 564, 623 740
Latte Igel und der magische Wasserstein,DE,2019,"Mimi Maynard, Regina Welker, Paulette Victor-Lifton, Nina Wels, Andrea Deppert", 610 966,1 048 267
Petla,PL,2020,Patryk Vega, 602 069, 602 112
Joker,US,2019,Todd Phillips, 600 891,40 171 953
21 Bridges,US,2019,Brian Kirk, 597 838, 913 208
La daronne,FR,2020,Jean-Paul Salomé, 596 954, 679 474
Lassie - Eine abenteuerliche Reise,DE,2020,Hanno Olderdissen, 596 282, 962 627
Drømmebyggerne,DK,2020,"Kim Hagen Jensen, Tonni Zinck", 589 103, 888 599
Un divan à Tunis,"FR, TN",2019,Manele Labidi, 574 360, 602 738
"Yakari, le film","FR, DE, BE",2020,"Xavier Giacometti, Toby Genkel", 567 296, 743 469
"Paw Patrol: Ready, Race, Rescue!","CA, US",2019,"Charles E. Bastien, Keith Chapman", 566 789, 570 285
Enkel für Anfänger,DE,2020,Wolfgang Groos, 565 406, 574 735
Poly,"FR, BE",2020,Nicolas Vanier, 564 898, 725 744
Miami Bici,RO,2020,Jesús del Cerro, 553 941, 555 689
Effacer l'historique,"FR, BE",2020,"Benoît Delépine, Gustave Kervern", 548 911, 582 925
Die Heinzels - Rückkehr der Heinzelmännchen,"DE, AT",2019,Ute von Münchow-Pohl, 543 150,1 040 661
Figli,IT,2020,Giuseppe Bonito, 528 214, 530 418
Türkler Geliyor: Adaletin Kilici,TR,2019,"Kamil Aydin, Erdem Can", 526 624, 526 624
Zenek,PL,2020,Jan Hryniak, 517 272, 517 272
Military Wives,GB,2019,Peter Cattaneo, 515 880, 529 345
Le lion,"FR, BE",2020,Ludovic Colbeau-Justin, 511 253, 512 213
Pets United,"CN, DE, GB",2019,Reinhard Klooss, 506 477, 539 549
Sprite Sisters - Vier zauberhafte Schwestern,DE,2020,Sven Unterwaldt Jr., 499 882, 507 457
Antebellum,US,2020,"Gerard Bush, Christopher Renz", 492 896, 494 108
Prílis osobní známost,"CZ, SK",2020,Marta Ferencová, 488 887, 492 650
18 regali,IT,2020,Francesco Amato, 481 319, 482 305
Eftyhia,GR,2019,Angelos Frantzis, 481 036, 686 003
Je voudrais que quelqu'un m'attende quelque part,FR,2019,Arnaud Viard, 477 522, 479 353
La dea fortuna,IT,2019,Ferzan Ozpetek, 475 744,1 274 409
I Still Believe,US,2020,"Andrew Erwin, Jon Erwin", 473 914, 476 092
Charlie's Angels,US,2019,Elizabeth Banks, 470 605,1 217 532
Hasta que la boda nos separe,ES,2020,Dani de la Orden, 466 661, 471 697
Tenki no ko,JP,2019,Makoto Shinkai, 460 190, 572 684
Retfærdighedens ryttere,DK,2020,Anders Thomas Jensen, 459 773, 862 277
"April, May en June",NL,2019,Will Koopman, 457 440, 626 623
Klovn the Final,DK,2020,Mikkel Nørgaard, 452 921, 452 921
Karakomik Filmler: Deli,TR,2020,Cem Yilmaz, 441 247, 441 247
Été 85,"FR, BE",2020,François Ozon, 438 669, 494 780
V síti,"CZ, SK",2020,"Barbora Chalupová, Vít Klusák", 436 886, 453 949
Queen & Slim,"US, CA",2019,Melina Matsoukas, 433 648, 446 563
Ooops! The Adventure Continues,"DE, IE, LU",2020,"Toby Genkel, Seán McCormack", 429 815,3 339 077
Hors normes,"FR, BE",2019,"Olivier Nakache, Eric Toledano", 427 734,2 894 001
The Lighthouse,"US, CA",2019,Robert Eggers, 427 445, 552 411
Like a Boss,US,2020,Miguel Arteta, 423 993, 424 139
Meine Freundin Conni - Geheimnis um Kater Mau,DE,2020,"Ansgar Niebuhr, Victoriano Rubio", 422 530, 448 020
The Hunt,"US, JP",2020,Craig Zobel, 418 854, 419 016
100% Wolf,AU,2020,Alexs Stadermann, 412 341, 948 226
Follow Me,US,2020,Will Wernick, 407 980, 422 862
Scumbag,"SK, CZ",2020,"Rudolf Biermann, Mariana Cengel-Solcanská", 407 249, 407 935
Bad Boy,PL,2020,Patryk Vega, 406 007, 406 033
La vérité,"FR, JP",2019,Hirokazu Koreeda, 405 961, 712 435
Ask Tesadüfleri Sever 2,TR,2020,"Ipek Sorak, Ömer Faruk Sorak", 405 247, 405 301
SamSam,"BE, FR",2019,Tanguy de Kermel, 398 426, 439 582
The Addams Family,"US, CA",2019,"Greg Tiernan, Conrad Vernon", 397 443,7 099 053
Das geheime Leben der Bäume,DE,2020,"Jörg Adolph, Jan Haft", 392 633, 415 065
Countdown,US,2019,Justin Dec, 379 770,1 779 295
Rendez-vous chez les Malawas,"FR, BE",2019,James Huth, 373 373, 723 942
Mon cousin,"FR, BE",2020,Jan Kounen, 372 879, 376 750
Biz Böyleyiz,TR,2020,Caner Özyurtlu, 371 925, 371 925
De forbandede år,DK,2020,Anders Refn, 371 527, 371 627
Les apparences,"FR, BE",2020,Marc Fitoussi, 364 696, 376 541
The Farewell,US,2019,Lulu Wang, 362 887, 624 621
Petit pays,"FR, BE",2020,Eric Barbier, 362 780, 380 024
Sorry We Missed You,"GB, BE, FR",2019,Ken Loach, 361 683,1 339 521
The Croods: A New Age,US,2020,Joel Crawford, 359 759,6 685 130
The Witches,"US, MX, CA",2020,Robert Zemeckis, 357 996, 455 937
Qu'est-ce qu'on a encore fait au bon Dieu?,FR,2018,Philippe de Chauveron, 355 817,10 244 299
Swingersi,"PL, LV",2020,Andrejs Ekis, 354 563, 354 563
Une belle équipe,FR,2019,Mohamed Hamidi, 352 661, 359 942
Es ist zu deinem Besten,DE,2020,Marc Rothemund, 349 833, 386 538
Les traducteurs,"FR, BE",2019,Régis Roinsard, 347 370, 430 024
Dragon Rider,DE,2020,Tomer Eshed, 345 459, 632 549
Portrait de la jeune fille en feu,FR,2019,Céline Sciamma, 342 014,1 063 605
The Secret: Dare to Dream,US,2020,Andy Tennant, 338 083, 339 187
Gretel & Hansel,"US, CA, IE, ZA",2020,Oz Perkins, 337 131, 337 187
Le bonheur des uns...,FR,2020,Daniel Cohen, 334 898, 378 943
La fille au bracelet,"FR, BE",2019,Stéphane Demoustier, 333 405, 386 451
T'as pécho?,FR,2020,Adeline Picault, 328 989, 329 117
André Rieu: 70 Years Young,NL,2020,Michael Wiseman, 326 945, 326 945
La Belle Époque,"FR, BE",2019,Nicolas Bedos, 323 408,2 083 118
Needle Park Baby,CH,2020,Pierre Monnard, 323 148, 328 483
Charlatan,"CZ, IE, PL, SK",2020,Agnieszka Holland, 322 860, 411 319
Belle fille,FR,2020,Méliane Marcaggi, 318 489, 319 306
The Big Trip,RU,2019,"Vasiliy Rovenskiy, Natalya Nilova, Natalia Nilova", 316 574, 878 239
Chlap na strídacku,CZ,2020,Petr Zahrádka, 314 865, 317 020
3Bobule,CZ,2020,Martin Kopp, 311 495, 335 020
A Beautiful Day in the Neighborhood,"US, CN",2019,Marielle Heller, 311 170, 314 325
Far til fire & vikingerne,DK,2020,Martin Miehe-Renard, 310 356, 312 253
Le meilleur reste à venir,"FR, BE",2019,"Alexandre de La Patellière, Matthieu Delaporte", 309 124,1 183 518
My Spy,"US, CA",2020,Peter Segal, 307 798, 313 303
A Hidden Life,"US, DE, GB",2019,Terrence Malick, 305 467, 451 142
Ford v Ferrari,US,2019,James Mangold, 299 622,4 953 089
Il primo Natale,IT,2019,"Salvatore Ficarra, Valentino Picone", 297 105,2 381 489
Der kleine Rabe Socke - Suche nach dem verlorenen Schatz,DE,2019,"Verena Fels, Sandor Jesse", 295 612, 429 100
Radioactive,"GB, FR, US, CN, HU",2019,Marjane Satrapi, 295 164, 317 857
Onze Jongens in Miami,NL,2020,Johan Nijenhuis, 293 477, 293 477
Cats & Dogs 3: Paws Unite,US,2020,Sean McNamara, 292 751, 382 047
Børning 3,NO,2020,Hallvard Bræin, 285 904, 287 041
The Peanut Butter Falcon,US,2019,"Tyler Nilson, Michael Schwartz", 285 277, 430 480
Parents d'élèves,FR,2020,Noémie Saglio, 285 142, 288 099
"Les choses qu'on dit, les choses qu'on fait",FR,2020,Emmanuel Mouret, 282 763, 323 944
Superagente Makey,ES,2020,Alfonso Sánchez, 273 045, 273 116
Last Christmas,"US, GB",2019,Paul Feig, 272 052,6 236 487
Mucize 2: Ask,TR,2019,Mahsun Kirmizigül, 271 251,2 018 949
Arctic Justice,"US, CA, GB, IN",2019,Aaron Woodley, 269 144, 720 355
"Gott, du kannst ein Arsch sein",DE,2020,André Erkau, 268 846, 302 030
Ip Man 4: The Finale,"HK, CN",2019,Wilson Yip, 268 523, 293 358
Mr. Jones,"PL, GB, UA",2019,Agnieszka Holland, 268 427, 402 419
Die Wolf-Gäng,DE,2020,Tim Trageser, 267 520, 272 468
Les parfums,FR,2019,Gregory Magne, 265 198, 333 182
Papi Sitter,FR,2019,Philippe Guillard, 258 958, 260 293
De Grote Slijmfilm,NL,2020,Hans Somers, 258 831, 258 831
No Time to Die,"GBinc, US",2021,Cary Joji Fukunaga,35 598 792,35 866 760
Spider-Man: No Way Home,US,2021,Jon Watts,28 513 072,44 812 387
Dune,"US, CA",2021,Denis Villeneuve,15 305 486,15 503 259
F9,US,2021,Justin Lin,13 377 528,13 390 223
Venom: Let There Be Carnage,US,2021,Andy Serkis,11 240 219,11 329 940
Black Widow,US,2021,Cate Shortland,9 479 614,9 479 802
Eternals,US,2021,Chloé Zhao,9 109 110,9 123 187
Shang-Chi and the Legend of the Ten Rings,US,2021,Destin Daniel Cretton,8 988 083,8 988 780
PAW Patrol: The Movie,"US, CA",2021,Cal Brunker,8 140 779,8 281 106
The Conjuring: The Devil Made Me Do It,US,2021,Michael Chaves,7 053 431,7 054 556
Encanto,US,2021,"Byron Howard, Jared Bush, Charise Castro Smith",6 601 413,9 345 229
The Croods: A New Age,US,2020,Joel Crawford,6 288 503,6 685 130
Free Guy,US,2021,Shawn Levy,5 963 118,5 964 935
