Original title,Producing country,Production year,Directors,Admissions 1996-1996,Total EU27+GB since 1996
Four Rooms,US,1995,"Allison Anders, Quentin Tarantino, Robert Rodriguez, Alexandre Rockwell, Chuck Jones",1 457 072,1 622 288
The American President,US,1995,Rob Reiner,1 438 830,1 439 837
"Hommes, femmes : mode d'emploi",FR,1996,Claude Lelouch,1 385 233,1 455 404
It Takes Two,US,1995,Andy Tennant,1 380 670,1 428 964
Le plus beau métier du monde,FR,1996,Gérard Lauzier,1 379 219,2 443 268
Mortal Kombat,US,1995,Paul W.S. Anderson,1 368 603,1 400 041
Courage Under Fire,US,1996,Edward Zwick,1 357 060,2 248 597
Assassins,US,1995,Richard Donner,1 296 476,1 335 626
Down Periscope,US,1996,David S. Ward,1 282 754,1 303 965
Escape from L.A.,US,1996,John Carpenter,1 255 851,1 531 621
Never Talk to Strangers,"US, CA",1995,Peter Hall,1 241 719,1 262 432
Desperado,US,1995,Robert Rodriguez,1 225 827,1 256 657
Echte Kerle,DE,1996,Rolf Silber,1 213 657,1 238 010
Waiting to Exhale,US,1995,Forest Whitaker,1 174 298,1 175 647
Les 2 papas et la maman,FR,1996,"Jean-Marc Longval,  Smaïn",1 151 739,1 155 004
The Net,US,1995,Irwin Winkler,1 095 599,1 096 422
Blue in the Face,US,1995,"Paul Auster, Wayne Wang, Harvey Wang",1 086 538,1 180 044
Jane Eyre,"IT, GB, FR",1995,Franco Zeffirelli,1 041 289,1 104 907
Nelly & Monsieur Arnaud,"FR, DE, IT",1995,Claude Sautet,1 038 918,1 086 682
Viaggi di nozze,IT,1995,Carlo Verdone,1 037 046,1 037 046
Dead Man,"US, DE",1995,Jim Jarmusch,1 025 766,1 149 587
The Glimmer Man,US,1996,John Gray,1 017 195,2 157 529
Now and Then,US,1995,Lesli Linka Glatter,1 013 355,1 014 309
How to Make an American Quilt,US,1995,Jocelyn Moorhouse,1 010 841,1 022 683
Les voleurs,FR,1996,André Téchiné,1 002 523,1 202 541
The Bridges of Madison County,US,1995,Clint Eastwood, 983 738,1 026 533
Brassed Off!,GB,1996,Mark Herman, 934 715,2 491 185
The Englishman Who Went Up A Hill But Came Down A Mountain,GB,1995,Christopher Monger, 914 736, 921 555
Two if by Sea,US,1995,Bill Bennett, 908 483, 915 012
Chacun cherche son chat,FR,1996,Cédric Klapisch, 897 770,1 080 609
Kolya,"CZ, FR, GB",1996,Jan Sverák, 895 442,3 037 806
Và dove ti porta il cuore,"IT, DE, FR",1996,Cristina Comencini, 889 288,1 027 774
Les caprices d'un fleuve,"FR, IT, DE",1996,Bernard Giraudeau, 878 050, 888 298
The Van,GB,1996,Stephen Frears, 877 820, 975 027
Jägarna,SE,1996,Kjell Sundvall, 873 914, 930 049
The Portrait of a Lady,US,1996,Jane Campion, 871 221,1 753 509
Kingpin,US,1996,"Bobby Farrelly, Peter Farrelly", 866 812, 955 307
Vacanze di Natale '95,IT,1995,Neri Parenti, 859 516, 859 557
Home for the Holidays,US,1995,Jodie Foster, 857 540, 858 017
Crying Freeman,US,1995,Christophe Gans, 856 499, 891 063
City Hall,US,1996,Harold Becker, 850 309, 861 425
The Indian in the Cupboard,US,1995,Frank Oz, 838 801, 869 091
Fallait pas !...,"FR, ES",1996,Gérard Jugnot, 823 904, 930 757
Screamers,"CA, US, JP",1994,Christian Duguay, 820 807, 827 335
