Original title,Producing country,Production year,Directors,Admissions null-null,Total EU27+GB since 1996
Giorni d'amore,IT,1954,"Giuseppe De Santis, Leopoldo Savona", 1 100, 1 100
Le rouge et le noir,"IT, FR",1954,Claude Autant-Lara, 1 064, 1 064
Kyriakatiko xypnima,GR,1954,Michael Cacoyannis,  980,  980
Cronache di poveri amanti,IT,1954,Carlo Lizzani,  854,  854
Cañas y barro,"ES, IT",1954,Juan de Orduña,  733,  733
Ueli der Knecht,CH,1954,Franz Schnyder,  595,  595
Rhapsody,US,1954,Charles Vidor,  590,  590
Robinson Crusoe,"MX, US",1954,Luis Buñuel,  461,  461
Happy Ever After,GB,1954,Mario Zampi,  415,  415
Stříbrný vítr,"CZ, SK",1954,Václav Krska,  347,  347
Salt of the Earth,US,1954,Herbert J. Biberman,  295,  295
Siraa Fil-Wadi,EG,1954,Youssef Chahine,  273,  273
The Glenn Miller Story,US,1954,Anthony Mann,  253,  253
Comicos,"ES, AR",1954,Juan Antonio Bardem,  250,  250
Novio a la vista,ES,1954,Luis García Berlanga,  232,  232
Marcelino pan y vino,"ES, IT",1954,Ladislao Vajda,  163,  163
The Naked Jungle,US,1954,Byron Haskin,  156,  156
Garden of Evil,US,1954,Henry Hathaway,  136,  136
Them!,US,1954,Gordon Douglas,  128,  128
L'oro di Napoli,IT,1954,Vittorio De Sica,  126,  126
Rodná zem,"CZ, SK",1954,Josef Mach,  125,  125
The Egyptian,US,1954,Michael Curtiz,  115,  115
La spiaggia,"IT, FR",1954,Alberto Lattuada,  108,  108
Troll i ord,NO,1954,"Olav Engebretsen, Jon Lennart Mjøen",  87,  87
El río y la muerte,MX,1954,Luis Buñuel,  86,  86
"Rétrospective: Vittorio de Seta (1954-1959, PL)",PL,1954,Vittorio De Seta,  84,  84
Dov'è la libertà...?,IT,1954,Roberto Rossellini,  83,  83
Rákóczi hadnagya,HU,1954,Frigyes Bán,  80,  80
Jeste svatba nebyla,"CZ, SK",1954,Jaroslav Mach,  59,  59
Z Argentiny do Mexika,"CZ, SK",1954,"Jiri Hanzelka, Miroslav Zikmund",  55,  55
Désirée,US,1954,Henry Koster,  54,  54
Arvingen,DK,1954,"Jon Iversen, Alice O'Fredericks",  51,  51
Llévame en tus brazos,MX,1954,Julio Bracho,  47,  47
Botostroj,"CZ, SK",1954,K.M. Walló,  46,  46
Apache,US,1954,Robert Aldrich,  44,  44
Frona,"CZ, SK",1954,Jirí Krejcík,  36,  36
Nejlepsi clovek,"CZ, SK",1954,"Ivo Novák, Václav Wasserman",  34,  34
La romana,"IT, FR",1954,Luigi Zampa,  33,  33
Taxi Driver,IN,1954,Chetan Anand,  33,  33
Přicházejí z tmy,"CZ, SK",1954,Václav Gajer,  32,  32
Életjel,HU,1954,Zoltán Fábri,  27,  27
Giovanna d'Arco al rogo,"IT, FR",1954,Roberto Rossellini,  23,  23
Můj přítel Fabián,"CZ, SK",1954,Jirí Weiss,  20,  20
Expres z Norimberka,"CZ, SK",1954,Vladimír Cech,  18,  18
Hell and High Water,US,1954,Samuel Fuller,  16,  16
Malvaloca,ES,1954,Ramón Torrado,  14,  14
En sømand går i land,DK,1954,Lau Lauritzen,  12,  12
The Bridges at Toko-Ri,US,1954,Mark Robson,  12,  12
Der Froschkönig,DE,1954,Otto Meyer,  11,  11
Én és a nagyapám,HU,1954,Viktor Gertler,  8,  8
Todo es posible en Granada,ES,1954,José Luis Sáenz de Heredia,  7,  7
Severní prístav,CZ,1954,Milos Makovec,  7,  7
Simon Menyhért születése,HU,1954,"Zoltán Várkonyi, Károly Makk",  5,  5
Alarm im Zirkus,DD,1954,Gerhard Klein,  4,  4
Totò cerca pace,IT,1954,Mario Mattoli,  4,  4
Lady and The Tramp,US,1955,"Clyde Geronimi, Jack Cutting, Wilfred Jackson, Hamilton Luske",4 144 003,4 144 003
The Night of the Hunter,US,1955,Charles Laughton, 361 090, 361 090
Rebel Without a Cause,US,1955,Nicholas Ray, 201 661, 201 661
Moonfleet,US,1955,Fritz Lang, 115 580, 115 580
The Man from Laramie,US,1955,Anthony Mann, 110 069, 110 069
The Dam Busters,GB,1955,Michael Anderson, 87 920, 87 920
To Catch a Thief,US,1955,Alfred Hitchcock, 56 231, 56 231
Barn av solen,NO,1955,Arne Skouen, 33 820, 33 820
Lola Montès,FR,1955,Max Ophüls, 33 321, 33 321
The Seven Year Itch,US,1955,Billy Wilder, 30 442, 30 442
The Ladykillers,GB,1955,Alexander Mackendrick, 25 414, 25 414
Du rififi chez les hommes,"FR, IT",1955,Jules Dassin, 24 886, 24 886
Ordet,DK,1955,Carl Theodor Dreyer, 24 663, 24 663
Kiss Me Deadly,US,1955,Robert Aldrich, 19 770, 19 770
Cesta do pravěku,"CZ, SK",1955,"Fred Ladd, Karel Zeman", 19 591, 19 591
Sommarnattens leende,SE,1955,Ingmar Bergman, 19 014, 19 014
Moara Cu Noroc,RO,1955,Victor Iliu, 16 912, 16 912
Mr Arkadin,"FR, ES, CH",1955,Orson Welles, 14 328, 14 328
Muerte de un ciclista,"ES, IT",1955,Juan Antonio Bardem, 13 618, 13 618
Summertime,"US, GB",1955,David Lean, 13 122, 13 122
Pather Panchali,IN,1955,Satyajit Ray, 10 781, 10 781
Peccato che sia una canaglia,IT,1955,Alessandro Blasetti, 10 253, 10 253
Le amiche,IT,1955,Michelangelo Antonioni, 9 994, 9 994
Ensayo de un crimen,MX,1955,Luis Buñuel, 9 570, 9 570
Bad Day at Black Rock,US,1955,John Sturges, 8 905, 8 905
Stella,GR,1955,Michael Cacoyannis, 8 110, 8 110
Yôkihi,"JP, HK",1955,Kenji Mizoguchi, 8 103, 8 103
The Trouble with Harry,US,1955,Alfred Hitchcock, 6 965, 6 965
Man Without a Star,US,1955,King Vidor, 6 166, 6 166
All That Heaven Allows,US,1955,Douglas Sirk, 6 149, 6 149
Whymerps Weg aufs Matterhorn,CH,1955,"Heinz Julen, August Julen", 6 107, 6 107
Guys and Dolls,US,1955,Joseph L. Mankiewicz, 5 999, 5 999
Killer's Kiss,US,1955,Stanley Kubrick, 5 210, 5 210
Italia K2,IT,1955,Marcello Baldi, 4 724, 4 724
Lo scapolo,"IT, ES",1955,Antonio Pietrangeli, 4 617, 4 617
Il bidone,"IT, FR",1955,Federico Fellini, 4 599, 4 599
Menschen am Matterhorn,CH,1955,"Heinz Julen, August Julen", 4 486, 4 486
Oklahoma!,US,1955,Fred Zinnemann, 3 197, 3 197
Gli sbandati,IT,1955,Francesco Maselli, 2 689, 2 689
The Man with the Golden Arm,US,1955,Otto Preminger, 2 637, 2 637
Rumpelstilzchen,DE,1955,Herbert B. Fredersdorf, 2 549, 2 549
Shin heike monogatari,JP,1955,Kenji Mizoguchi, 2 524, 2 524
The Constant Husband,GB,1955,Sidney Gilliat, 2 348, 2 348
Schneewittchen und die sieben Zwerge,DE,1955,Erich Kobler, 2 329, 2 329
La Pointe Courte,FR,1955,Agnès Varda, 2 312, 2 312
Run for Cover,US,1955,Nicholas Ray, 2 293, 2 293
Ikimono no kiroku,JP,1955,Akira Kurosawa, 2 054, 2 054
Il segno di Venere,IT,1955,Dino Risi, 2 031, 2 031
The Cobweb,US,1955,Vincente Minnelli, 1 856, 1 856
The Big Knife,US,1955,Robert Aldrich, 1 811, 1 811
Zoku Miyamoto Musashi: Ichijôji no kettô,JP,1955,Hiroshi Inagaki, 1 694, 1 694
Tuntematon sotilas,FI,1955,Edvin Laine, 1 673, 1 673
Mozart's Don Giovanni,GB,1955,Paul Czinner, 1 569, 1 569
The Naked Dawn,US,1955,Edgar G. Ulmer, 1 435, 1 435
Der gestiefelte Kater,DE,1955,Herbert B. Fredersdorf, 1 398, 1 398
Far til fire på landet,DK,1955,Alice O'Fredericks, 1 316, 1 316
"Uli, der Pächter",CH,1955,Franz Schnyder, 1 306, 1 306
Camino cortado,"ES, DE",1955,Ignacio F. Iquino, 1 230, 1 230
Chibusa yo eien nare,JP,1955,Kinuyo Tanaka, 1 101, 1 101
Il prigioniero della montagna,"DE, IT",1955,Luis Trenker,  926,  926
Byl jednou jeden král,"CZ, SK",1955,Borivoj Zeman,  790,  790
Tsuki wa noborinu,JP,1955,Kinuyo Tanaka,  782,  782
Rêve de femmes,SE,1955,Ingmar Bergman,  619,  619
Ginza no onna,JP,1955,Kôzaburô Yoshimura,  542,  542
Jochukko,JP,1955,Tomotaka Tasaka,  493,  493
House of Bamboo,US,1955,Samuel Fuller,  481,  481
The Court Jester,US,1955,"Melvin Frank, Norman Panama",  469,  469
Psohlavci,"CZ, SK",1955,Martin Fric,  466,  466
Heidi und Peter,CH,1955,Franz Schnyder,  421,  421
Dobrodružství na Zlaté zátoce,"CZ, SK",1955,Břetislav Pojar,  417,  417
Artists and Models,US,1955,Frank Tashlin,  417,  417
Jibun no ana no nakade,JP,1955,Tomu Uchida,  401,  401
Strakonický dudák,"CZ, SK",1955,Karel Steklý,  399,  399
Razzia sur la chnouf,FR,1955,Henri Decoin,  393,  393
It's Always Fair Weather,US,1955,"Gene Kelly, Stanley Donen",  364,  364
Historias de la Radio,ES,1955,José Luis Sáenz de Heredia,  346,  346
Cela s'appelle l'aurore,"FR, IT",1955,Luis Buñuel,  336,  336
Violent Saturday,US,1955,Richard Fleischer,  333,  333
Jan Žižka,"CZ, SK",1955,Otakar Vávra,  331,  331
Blackboard Jungle,US,1955,Richard Brooks,  299,  299
Ukigumo,JP,1955,Mikio Naruse,  290,  290
Z mého zivota,"CZ, SK",1955,Václav Krska,  276,  276
L'affaire des poisons,"FR, IT",1955,Henri Decoin,  267,  267
Mi desconocida esposa,MX,1955,Alberto Gout,  222,  222
There's Always Tomorrow,US,1955,Douglas Sirk,  209,  209
Luffaren och Rasmus,SE,1955,Rolf Husberg,  207,  207
Nechte to na mne,"CZ, SK",1955,Martin Fric,  200,  200
Polizischt Wäckerli,CH,1955,Kurt Früh,  200,  200
Le rendez-vous des quais,FR,1955,Paul Carpita,  195,  195
Les grandes manoeuvres,"FR, IT",1955,René Clair,  187,  187
The Tall Men,US,1955,Raoul Walsh,  186,  186
El cerco,ES,1955,Miguel Iglesias,  175,  175
Richard III,GB,1955,Laurence Olivier,  158,  158
Andel na horách,"CZ, SK",1955,Borivoj Zeman,  157,  157
Gas-oil,FR,1955,Gilles Grangier,  149,  149
Kismet,US,1955,"Vincente Minnelli, Stanley Donen",  123,  123
Oasis,"FR, DE",1955,Yves Allégret,  122,  122
Punta a ctyrlístek,"CZ, SK",1955,Jirí Weiss,  120,  120
Liliomfi,HU,1955,Károly Makk,  112,  112
Der letzte Mann,DE,1955,Harald Braun,  110,  110
An der schönen blauen Donau,AT,1955,Hans Schweikart,  70,  70
Min Datter Nelly,DK,1955,Alice O'Fredericks,  70,  70
Nuit et brouillard,FR,1955,Alain Resnais,  62,  62
Love Is a Many-Splendored Thing,US,1955,"Henry King, Otto Lang",  61,  61
Desert Sands,US,1955,Lesley Selander,  56,  56
Espaldas mojadas,MX,1955,Alejandro Galindo,  56,  56
Los peces rojos,ES,1955,José Antonio Nieves Conde,  55,  55
Más fuerte que el amor,"MX, CU",1955,Tulio Demicheli,  54,  54
Mister Roberts,US,1955,"John Ford, Mervyn LeRoy, Joshua Logan",  53,  53
Die Ratten,DE,1955,Robert Siodmak,  52,  52
Himmel ohne Sterne,DE,1955,Helmut Käutner,  51,  51
The History of the Cinema,GB,1955,John Halas,  42,  42
Pokolenie,PL,1955,Andrzej Wajda,  42,  42
El caso de la mujer asesinadita,MX,1955,Tito Davison,  35,  35
I Am a Camera,GB,1955,Henry Cornelius,  33,  33
Hudba z Marsu,"CZ, SK",1955,"Ján Kadár, Elmar Klos",  30,  30
Blændværk,DK,1955,Johan Jacobsen,  27,  27
Land of the Pharaohs,US,1955,Howard Hawks,  20,  20
Stvorylka,"CZ, SK",1955,"Karol Krska, Jozef Medved",  20,  20
Scuola elementare,"IT, FR",1955,Alberto Lattuada,  20,  20
Napoléon,"FR, IT",1955,Sacha Guitry,  19,  19
Pearl of the South Pacific,US,1955,Allan Dwan,  16,  16
A 9-es kórterem,HU,1955,Károly Makk,  12,  12
Okos lány,HU,1955,Gyula Macskássy,  12,  12
The Quatermass Xperiment,GB,1955,Val Guest,  11,  11
2x2 néha 5,HU,1955,György Révész,  9,  9
Desfasurarea,RO,1955,Paul Calinescu,  7,  7
Altid ballade,DK,1955,Gabriel Axel,  3,  3
Blekitny krzyz,PL,1955,Andrzej Munk,  3,  3
Beyond a Reasonable Doubt,US,1956,Fritz Lang, 187 059, 187 059
The Searchers,US,1956,John Ford, 166 343, 166 343
La traversée de Paris,"FR, IT",1956,Claude Autant-Lara, 71 692, 71 692
Around the World in Eighty Days,US,1956,"Michael Anderson, John Farrow", 50 927, 50 927
The Killing,US,1956,Stanley Kubrick, 43 689, 43 689
Invasion of the Body Snatchers,US,1956,Don Siegel, 34 067, 34 067
Far til fire i byen,DK,1956,Alice O'Fredericks, 18 925, 18 925
The Man Who Knew too Much,US,1956,Alfred Hitchcock, 16 990, 16 990
Written on the Wind,US,1956,Douglas Sirk, 13 833, 13 833
While the City Sleeps,US,1956,Fritz Lang, 13 478, 13 478
Amor a primera vista,AR,1956,Leo Fleider, 11 212, 11 212
High Society,US,1956,Charles Walters, 10 665, 10 665
The Wrong Man,US,1956,Alfred Hitchcock, 10 252, 10 252
Akasen Chitai,JP,1956,Kenji Mizoguchi, 10 129, 10 129
Lust for Life,US,1956,"Vincente Minnelli, George Cukor", 9 695, 9 695
Le mystère Picasso,FR,1956,Henri-Georges Clouzot, 8 923, 8 923
Giant,US,1956,George Stevens, 6 251, 6 251
War and Peace,"US, IT",1956,King Vidor, 6 105, 6 105
Un condamné à mort s'est échappé ou Le vent souffle où il veut,FR,1956,Robert Bresson, 5 053, 5 053
Sôshun,JP,1956,Yasujirô Ozu, 5 019, 5 019
Nagareru,JP,1956,Mikio Naruse, 4 758, 4 758
Forbidden Planet,US,1956,Fred M. Wilcox, 4 572, 4 572
The Ten Commandments,US,1956,Cecil B. DeMille, 4 064, 4 064
Voici le temps des assassins...,FR,1956,Julien Duvivier, 3 889, 3 889
Moby Dick,GB,1956,John Huston, 3 852, 3 852
Bigger Than Life,US,1956,Nicholas Ray, 3 321, 3 321
Et Dieu... créa la femme,FR,1956,Roger Vadim, 3 283, 3 283
Elena et les hommes,"FR, IT",1956,Jean Renoir, 3 259, 3 259
O Drakos,GR,1956,Nikos Koundouros, 2 778, 2 778
Honzíkova cesta,"CZ, SK",1956,Milan Vosmik, 2 197, 2 197
Dobrý voják Svejk,"CZ, SK",1956,Karel Steklý, 1 922, 1 922
La mort en ce jardin,"FR, MX",1956,Luis Buñuel, 1 897, 1 897
Max und Moritz,DE,1956,"Norbert Schultze, Francesco Stefani", 1 863, 1 863
To koritsi me ta mavra,GR,1956,Michael Cacoyannis, 1 599, 1 599
Miyamoto Musashi kanketsuhen: kettô Ganryûjima,JP,1956,Hiroshi Inagaki, 1 493, 1 493
Familia provisional,ES,1956,Francisco Rovira Beleta, 1 437, 1 437
Attack,US,1956,Robert Aldrich, 1 267, 1 267
The Last Hunt,US,1956,Richard Brooks, 1 214, 1 214
The Girl Can't Help It,US,1956,Frank Tashlin, 1 130, 1 130
"Tischlein, deck dich",DE,1956,Jürgen von Alten, 1 119, 1 119
The Mountain,US,1956,Edward Dmytryk, 1 053, 1 053
Tea and sympathy,US,1956,Vincente Minnelli,  987,  987
Kiri no oto,JP,1956,Hiroshi Shimizu,  862,  862
The Proud and Profane,US,1956,George Seaton,  837,  837
La fortuna di essere donna,"FR, IT",1956,Alessandro Blasetti,  809,  809
Bus Stop,US,1956,Joshua Logan,  741,  741
Körhinta,HU,1956,Zoltán Fábri,  727,  727
El medallón del crimen (El 13 de oro),MX,1956,Juan Bustillo Oro,  647,  647
Die Heinzelmännchen,DE,1956,Erich Kobler,  617,  617
La espera,ES,1956,Vicente Lluch,  606,  606
Karnavalnaya noch,SU,1956,Eldar Ryazanov,  585,  585
Le chanteur de Mexico,"FR, ES",1956,Richard Pottier,  543,  543
Das tapfere Schneiderlein,DD,1956,Helmut Spieß,  520,  520
Alerte aux Canaries,FR,1956,André Roy,  479,  479
Hannibál tanár úr,HU,1956,Zoltán Fábri,  462,  462
Obusku z pytle ven!,"CZ, SK",1956,Jaromír Pleskot,  460,  460
The Brave One,US,1956,Irving Rapper,  460,  460
Calle Mayor,"ES, FR",1956,Juan Antonio Bardem,  454,  454
Toya,NO,1956,Eric Heed,  412,  412
Calabuch,"ES, IT",1956,Luis García Berlanga,  369,  369
The Unguarded Moment,US,1956,Harry Keller,  326,  326
La sorcière,"FR, IT, SE",1956,André Michel,  325,  325
Crime et châtiment,FR,1956,Georges Lampin,  309,  309
Bhowani Junction,"US, GB",1956,George Cukor,  299,  299
Le sang à la tête,FR,1956,Gilles Grangier,  285,  285
Rock Around the Clock,US,1956,Fred F. Sears,  267,  267
Bob le flambeur,FR,1956,Jean-Pierre Melville,  210,  210
Két bors ökröcske,HU,1956,Gyula Macskássy,  191,  191
Synové hor,"CZ, SK",1956,Cenek Duba,  187,  187
Qivitoq,DK,1956,Erik Balling,  175,  175
Anastasia,US,1956,Anatole Litvak,  175,  175
Dalibor,"CZ, SK",1956,Václav Krska,  171,  171
Ztracenci,"CZ, SK",1956,Milos Makovec,  157,  157
The Solid Gold Cadillac,US,1956,Richard Quine,  131,  131
"Paris, Palace Hôtel","FR, IT",1956,Henri Verneuil,  130,  130
Oberstadtgass,CH,1956,Kurt Früh,  87,  87
Nightfall,US,1956,Jacques Tourneur,  85,  85
Notre-Dame de Paris,"FR, IT",1956,Jean Delannoy,  81,  81
Le monde du silence,"FR, IT",1956,"Jacques-Yves Cousteau, Louis Malle",  76,  76
Neporažení,"CZ, SK",1956,Jirí Sequens,  67,  67
Delo N. 306,SU,1956,Anatoli Rybakov,  66,  66
Siempre en la arena,"ES, US",1956,"Barry Mahon, Ramón Torrado",  65,  65
Nina,DE,1956,Rudolf Jugert,  65,  65
The Swan,US,1956,Charles Vidor,  60,  60
Rudá záre nad Kladnem,"CZ, SK",1956,Vladimír Vlcek,  57,  57
Le ballon rouge,FR,1956,Albert Lamorisse,  56,  56
Vzorný kinematograf Haska Jaroslava,"CZ, SK",1956,Oldrich Lipský,  51,  51
Julie,US,1956,Andrew L. Stone,  48,  48
Great Day in the Morning,US,1956,Jacques Tourneur,  47,  47
Silja - nuorena nukkunut,FI,1956,Jack Witikka,  46,  46
Sången om den eldröda blomman,SE,1956,Gustaf Molander,  45,  45
Goldilocks,"CZ, SK",1956,"Jan Dudesek, Hermína Týrlová",  44,  44
Zar und Zimmermann,DD,1956,Hans Müller,  41,  41
Salna pavasari,SU,1956,"Pavel Armand, Leonids Leimanis",  35,  35
Le muchacho,"ES, IT",1956,Ladislao Vajda,  35,  35
Il tetto,"IT, FR",1956,Vittorio De Sica,  34,  34
Siraa Fil-Mina,EG,1956,Youssef Chahine,  30,  30
"Zaostrit, prosím!","CZ, SK",1956,Martin Fric,  30,  30
Kudy kam,"CZ, SK",1956,Vladimír Borský,  30,  30
Ratataa eller The Staffan Stolle Story,SE,1956,Hasse Ekman,  29,  29
Muz v povetri,"CZ, SK",1956,Miroslav Cikán,  29,  29
Sjunde himlen,SE,1956,Hasse Ekman,  27,  27
Taxa K 1640 efterlyses,DK,1956,Lau Lauritzen,  27,  27
Vina Vladimíra Olmera,"CZ, SK",1956,Václav Gajer,  25,  25
Jokin ihmisessä,FI,1956,Aarne Tarkas,  22,  22
The Bad Seed,US,1956,Mervyn LeRoy,  17,  17
Magyarország Lángokban,HU,1956, Unknown Director(s),  17,  17
"Tanár úr, kérem...",HU,1956,Frigyes Mamcserov,  15,  15
Il ferroviere,IT,1956,Pietro Germi,  14,  14
Den Kloge Mand,DK,1956,Jon Iversen,  14,  14
Torero,MX,1956,Carlos Velo,  14,  14
Juha,FI,1956,T.J. Särkkä,  14,  14
Embajadores en el Infierno,ES,1956,José María Forqué,  13,  13
El último perro,AR,1956,Lucas Demare,  13,  13
Nezlob Kristino,"CZ, SK",1956,Vladimír Cech,  12,  12
Between Heaven and Hell,US,1956,Richard Fleischer,  10,  10
Tarde de toros,ES,1956,Ladislao Vajda,  10,  10
Det brenner i natt,NO,1956,Arne Skouen,  9,  9
Gábor diák,HU,1956,László Kalmár,  8,  8
Liefde en geluck,NL,1956, Unknown Director(s),  7,  7
Vi som går stjernevejen,DK,1956,Johan Jacobsen,  6,  6
Pe raspunderea mea,RO,1956,Paul Calinescu,  6,  6
Ubiytsy,SU,1956,"Andrei Tarkovsky, Aleksandr Gordon, Marika Beiku",  6,  6
Ansikten i skugga,SE,1956,Peter Weiss,  4,  4
Az eltüsszentett birodalom,HU,1956,Tamás Banovich,  2,  2
Nevěra,"CZ, SK",1956,K.M. Walló,  2,  2
Hra o zivot,"CZ, SK",1956,Jirí Weiss,  1,  1
The Incredible Shrinking Man,US,1957,Jack Arnold, 436 647, 436 647
Paths of Glory,US,1957,Stanley Kubrick, 133 190, 133 190
12 Angry Men,US,1957,Sidney Lumet, 122 915, 122 915
Det sjunde inseglet,SE,1957,Ingmar Bergman, 105 163, 105 163
Smultronstället,SE,1957,Ingmar Bergman, 59 779, 59 779
Snezhnaya koroleva,SU,1957,"Lev Atamanov, Phil Patton", 48 521, 48 521
Le notti di Cabiria,"IT, FR",1957,Federico Fellini, 39 842, 39 842
Love in the Afternoon,US,1957,Billy Wilder, 32 871, 32 871
Sweet Smell of Success,US,1957,Alexander Mackendrick, 25 552, 25 552
Funny Face,US,1957,Stanley Donen, 23 933, 23 933
Kumonosu jo,JP,1957,Akira Kurosawa, 23 521, 23 521
Witness for the Prosecution,US,1957,Billy Wilder, 20 880, 20 880
An Affair to Remember,US,1957,Leo McCarey, 20 456, 20 456
Letjat zhuravli,SU,1957,Mikhail Kalatozov, 19 799, 19 799
Mother India,IN,1957,Mehboob Khan, 11 812, 11 812
Mister Cory,US,1957,Blake Edwards, 8 388, 8 388
Night of the Demon,GB,1957,Jacques Tourneur, 8 297, 8 297
Sestry,SU,1957,Grigori Roshal, 7 208, 7 208
Tôkyô boshoku,JP,1957,Yasujirô Ozu, 7 018, 7 018
Le notti bianche,"IT, FR",1957,Luchino Visconti, 7 012, 7 012
The Bridge on the River Kwai,GB,1957,David Lean, 6 586, 6 586
Quel cirque!,"CZ, SK",1957,"Karel Zeman, Břetislav Pojar, Zdeněk Ostrčil", 6 005, 6 005
Sendas marcadas,ES,1957,Juan Bosch, 5 033, 5 033
Il Grido,"IT, US",1957,Michelangelo Antonioni, 4 728, 4 728
"Heaven Knows, Mr. Allison",US,1957,John Huston, 4 696, 4 696
Porte des Lilas,"FR, IT",1957,René Clair, 4 408, 4 408
Aparajito,IN,1957,Satyajit Ray, 4 095, 4 095
Poveri ma belli,"IT, FR",1957,Dino Risi, 4 011, 4 011
Belle ma povere,IT,1957,Dino Risi, 3 797, 3 797
A King in New York,GB,1957,Charles Chaplin, 3 624, 3 624
The True Story of Jesse James,US,1957,Nicholas Ray, 3 337, 3 337
The Brothers Karamazov,US,1957,Richard Brooks, 3 059, 3 059
Nära livet,SE,1957,Ingmar Bergman, 2 862, 2 862
Forty Guns,US,1957,Samuel Fuller, 2 780, 2 780
Su desconsolada esposa,ES,1957,Miguel Iglesias, 2 762, 2 762
Don Kikhot,SU,1957,Grigori Kozintsev, 2 671, 2 671
The River's Edge,US,1957,Allan Dwan, 2 603, 2 603
Kanal,PL,1957,Andrzej Wajda, 2 561, 2 561
Donzoko,JP,1957,Akira Kurosawa, 2 515, 2 515
Mariti in città,IT,1957,Luigi Comencini, 2 380, 2 380
Designing Woman,US,1957,Vincente Minnelli, 2 317, 2 317
Un eroe dei nostri tempi,IT,1957,Mario Monicelli, 2 249, 2 249
Time Without Pity,GB,1957,Joseph Losey, 2 188, 2 188
Woman in a Dressing Gown,GB,1957,J. Lee Thompson, 2 148, 2 148
Padri e figli...,"IT, FR",1957,Mario Monicelli, 2 055, 2 055
Far til fire og onkel Sofus,DK,1957,"Alice O'Fredericks, Robert Saaskin", 1 733, 1 733
"Das singende, klingende Bäumchen",DD,1957,Francesco Stefani, 1 641, 1 641
The Tarnished Angels,US,1957,Douglas Sirk, 1 596, 1 596
Gunfight at the O.K. Corral,US,1957,John Sturges, 1 553, 1 553
Band of Angels,US,1957,Raoul Walsh, 1 525, 1 525
Pal Joey,US,1957,George Sidney, 1 424, 1 424
Les espions,"FR, IT",1957,Henri-Georges Clouzot, 1 420, 1 420
Silk Stockings,US,1957,Rouben Mamoulian, 1 388, 1 388
The Spirit of St. Louis,US,1957,Billy Wilder, 1 327, 1 327
Saint Joan,US,1957,Otto Preminger, 1 315, 1 315
Guendalina,"IT, FR",1957,Alberto Lattuada, 1 227, 1 227
Der Wolf und die sieben jungen Geißlein,DE,1957,Peter Podehl, 1 195, 1 195
The Smallest Show on Earth,GB,1957,Basil Dearden,  926,  926
Bäckerei Zürrer,CH,1957,Kurt Früh,  925,  925
Gårdarna runt sjön,SE,1957,Arthur Spjuth,  835,  835
Jailhouse Rock,US,1957,Richard Thorpe,  679,  679
The Wings of Eagles,US,1957,John Ford,  564,  564
Inta habibi,EG,1957,Youssef Chahine,  397,  397
I vampiri,IT,1957,"Mario Bava, Riccardo Freda",  393,  393
Sheriff Teddy,DD,1957,Heiner Carow,  361,  361
Dědeček automobil,"CZ, SK",1957,Alfred Radok,  353,  353
A Face in the Crowd,US,1957,Elia Kazan,  342,  342
Tam na konecne,"CZ, SK",1957,"Ján Kadár, Elmar Klos",  331,  331
The Curse of Frankenstein,GB,1957,Terence Fisher,  321,  321
Jurásek,"CZ, SK",1957,Miroslav Cikán,  321,  321
Bitter Victory,"FR, US",1957,Nicholas Ray,  294,  294
En djungelsaga,SE,1957,Arne Sucksdorff,  293,  293
El boxeador,MX,1957,Gilberto Gazcón,  268,  268
Hrátky s certem,"CZ, SK",1957,Josef Mach,  255,  255
